time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-4-4-50-421703,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.565000,30.830000,95.663339,40.642578,0.000000 
2019-7-6-4-4-50-541412,,0.000000,0.000000,0.000000,0.100126,0.742619,-0.043963,-0.001549,0.000508,0.000243,73.048927,2.774495,-47.475964,1001.565000,30.830000,95.663339,40.642578,0.750627 
2019-7-6-4-4-50-642006,,0.000000,0.000000,0.000000,0.099158,0.741545,-0.045447,-0.001322,0.001423,-0.001220,77.840950,3.361946,-51.187801,1001.565000,30.830000,95.663339,40.642578,0.749525 
2019-7-6-4-4-50-742578,,0.000000,0.000000,0.000000,0.098836,0.743872,-0.048972,-0.001218,0.001747,0.000995,78.937508,4.049582,-51.757805,1001.565000,30.830000,95.663339,40.642578,0.752005 
2019-7-6-4-4-50-843812,,0.000000,0.000000,0.000000,0.099320,0.744051,-0.045447,-0.003324,0.000990,0.000029,78.795677,2.797075,-51.399899,1001.565000,30.830000,95.663339,40.642578,0.752025 
2019-7-6-4-4-50-944849,,0.000000,0.000000,0.000000,0.099320,0.743872,-0.046746,0.003170,0.000832,-0.001575,78.314117,2.146349,-52.405579,1001.592578,30.830000,95.431563,40.383789,0.751927 
2019-7-6-4-4-51-45054,,0.000000,0.000000,0.000000,0.098191,0.745124,-0.044520,0.001136,0.001136,-0.000567,79.098244,2.854350,-52.350647,1001.592578,30.830000,95.431563,40.383789,0.752884 
2019-7-6-4-4-51-145812,,0.000000,0.000000,0.000000,0.098513,0.744230,-0.047302,-0.000411,-0.000025,0.000433,80.312981,2.986266,-50.721134,1001.592578,30.830000,95.431563,40.383789,0.752210 
2019-7-6-4-4-51-251551,,0.000000,0.000000,0.000000,0.098352,0.743335,-0.045818,-0.000864,-0.000057,0.000411,81.179771,3.739969,-49.617104,1001.592578,30.830000,95.431563,40.383789,0.751212 
2019-7-6-4-4-51-354528,,0.000000,0.000000,0.000000,0.098675,0.741724,-0.045633,-0.001183,-0.000095,0.000431,79.961594,3.862201,-49.802444,1001.592578,30.830000,95.431563,40.383789,0.749649 
