time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-4-16-33-400499,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.663750,31.060000,94.833435,38.679688,0.000000 
2019-7-6-4-16-33-502795,,0.000000,0.000000,0.000000,-0.055479,0.752998,0.086238,0.000876,0.000554,0.001143,69.667038,8.818615,-48.586769,1001.663750,31.060000,94.833435,38.679688,0.759948 
2019-7-6-4-16-33-609610,,0.000000,0.000000,0.000000,-0.055869,0.752819,0.089696,0.001649,-0.000668,0.000423,76.496414,9.940610,-50.875439,1001.663750,31.060000,94.833435,38.679688,0.760199 
2019-7-6-4-16-33-714720,,0.000000,0.000000,0.000000,-0.057426,0.753177,0.089235,0.001344,-0.000791,-0.000212,77.907860,9.457578,-52.000229,1001.663750,31.060000,94.833435,38.679688,0.760616 
2019-7-6-4-16-33-814922,,0.000000,0.000000,0.000000,-0.056842,0.751924,0.085085,-0.000431,-0.001412,0.000257,77.534698,9.756920,-53.093044,1001.663750,31.060000,94.833435,38.679688,0.758855 
2019-7-6-4-16-33-933187,,0.000000,0.000000,0.000000,-0.053727,0.750314,0.089927,-0.000988,0.001214,0.000085,77.879387,9.320202,-53.423965,1001.702070,31.050000,94.511406,38.250977,0.757591 
2019-7-6-4-16-34-33380,,0.000000,0.000000,0.000000,-0.056453,0.751566,0.086468,0.002048,0.000593,-0.000518,76.283104,9.152807,-52.593903,1001.702070,31.050000,94.511406,38.250977,0.758628 
2019-7-6-4-16-34-134371,,0.000000,0.000000,0.000000,-0.056258,0.749956,0.085315,-0.001741,-0.000573,-0.001533,76.953423,10.007618,-53.306957,1001.702070,31.050000,94.511406,38.250977,0.756887 
2019-7-6-4-16-34-235352,,0.000000,0.000000,0.000000,-0.056258,0.751208,0.089696,-0.000237,0.000861,-0.001064,77.479118,9.413514,-53.217155,1001.702070,31.050000,94.511406,38.250977,0.758633 
2019-7-6-4-16-34-353854,,0.000000,0.000000,0.000000,-0.053533,0.754251,0.079320,0.006369,0.004174,-0.003310,76.534904,8.778514,-53.467030,1001.702070,31.050000,94.511406,38.250977,0.760297 
2019-7-6-4-16-34-464615,,0.000000,0.000000,0.000000,-0.058789,0.752819,0.079320,0.001129,-0.000835,0.000944,75.790413,10.252674,-54.550697,1001.638438,31.040000,95.046157,38.330078,0.759266 
2019-7-6-4-16-34-569230,,0.000000,0.000000,0.000000,-0.063655,0.751208,0.086699,0.004248,0.006936,-0.004145,76.218391,9.710335,-55.147480,1001.638438,31.040000,95.046157,38.330078,0.758869 
2019-7-6-4-16-34-678215,,0.000000,0.000000,0.000000,-0.058399,0.751387,0.081857,0.009698,0.014764,-0.004932,75.951698,9.214540,-53.865257,1001.638438,31.040000,95.046157,38.330078,0.758086 
2019-7-6-4-16-34-778970,,0.000000,0.000000,0.000000,-0.050807,0.748703,0.093155,-0.001887,0.018242,0.002983,76.112411,9.506867,-54.042091,1001.638438,31.040000,95.046157,38.330078,0.756185 
2019-7-6-4-16-34-882415,,0.000000,0.000000,0.000000,-0.061125,0.757650,0.102378,0.001754,0.022515,-0.006739,77.737602,9.668494,-53.263832,1001.638438,31.040000,95.046157,38.330078,0.766976 
2019-7-6-4-16-34-983207,,0.000000,0.000000,0.000000,-0.049055,0.747630,0.091310,0.001128,-0.003383,0.000623,77.249329,9.768265,-52.878593,1001.636172,31.060000,95.065198,38.916016,0.754781 
2019-7-6-4-16-35-88352,,0.000000,0.000000,0.000000,-0.047693,0.752461,0.094308,-0.003061,-0.004280,0.005541,76.801674,9.713608,-52.711876,1001.636172,31.060000,95.065198,38.916016,0.759846 
2019-7-6-4-16-35-188592,,0.000000,0.000000,0.000000,-0.058594,0.752282,0.090388,-0.000097,-0.007881,0.001086,76.748932,9.537682,-53.016335,1001.636172,31.060000,95.065198,38.916016,0.759955 
2019-7-6-4-16-35-288652,,0.000000,0.000000,0.000000,-0.052949,0.751924,0.087160,0.001485,-0.004978,-0.001367,76.426689,10.090239,-52.157700,1001.636172,31.060000,95.065198,38.916016,0.758809 
2019-7-6-4-16-35-772662,,0.000000,0.000000,0.000000,-0.066381,0.734746,0.042888,0.130231,0.058587,-0.049689,77.051025,10.399597,-52.581417,1001.636172,31.060000,95.065198,38.916016,0.738984 
2019-7-6-4-16-35-933391,,0.000000,0.000000,0.000000,-0.032704,0.753893,0.098920,-0.026149,-0.060256,0.019306,81.384453,9.238419,-45.863136,1001.677617,31.080000,94.716900,38.817383,0.761058 
2019-7-6-4-16-36-35896,,0.000000,0.000000,0.000000,-0.044189,0.750135,0.099842,-0.045133,-0.057500,0.023009,82.179428,8.929569,-46.091576,1001.677617,31.080000,94.716900,38.817383,0.758039 
2019-7-6-4-16-36-138062,,0.000000,0.000000,0.000000,-0.055479,0.758724,0.088313,-0.089993,0.014708,0.037389,81.907593,8.792045,-46.996811,1001.677617,31.080000,94.716900,38.817383,0.765859 
2019-7-6-4-16-36-239097,,0.000000,0.000000,0.000000,-0.034650,0.752103,0.108604,-0.038600,0.035167,0.023591,81.155869,8.774684,-47.064934,1001.677617,31.080000,94.716900,38.817383,0.760694 
2019-7-6-4-16-36-340220,,0.000000,0.000000,0.000000,-0.036208,0.751745,0.113677,0.071663,0.000601,-0.018565,80.074432,8.166146,-46.922600,1001.677617,31.080000,94.716900,38.817383,0.761153 
2019-7-6-4-16-36-444443,,0.000000,0.000000,0.000000,-0.036597,0.746019,0.122208,0.010267,-0.007082,-0.010341,80.721588,8.293773,-46.587029,1001.696797,31.080000,94.555721,38.039062,0.756848 
2019-7-6-4-16-36-548447,,0.000000,0.000000,0.000000,-0.033093,0.746556,0.122439,-0.030852,-0.017170,0.037707,81.371841,8.456383,-46.811787,1001.696797,31.080000,94.555721,38.039062,0.757253 
2019-7-6-4-16-36-648942,,0.000000,0.000000,0.000000,-0.034066,0.751566,0.118058,0.018331,0.000732,-0.012290,80.939247,8.404557,-46.602627,1001.696797,31.080000,94.555721,38.039062,0.761545 
2019-7-6-4-16-36-749359,,0.000000,0.000000,0.000000,-0.030952,0.751208,0.119672,0.014270,0.000357,-0.010373,81.681328,9.328927,-47.646996,1001.696797,31.080000,94.555721,38.039062,0.761310 
2019-7-6-4-16-36-850256,,0.000000,0.000000,0.000000,-0.031730,0.750851,0.118980,0.016332,0.001054,-0.008011,80.897903,8.203375,-46.656361,1001.696797,31.080000,94.555721,38.039062,0.760881 
2019-7-6-4-16-36-961021,,0.000000,0.000000,0.000000,-0.031730,0.750314,0.118980,0.012083,0.000129,-0.008078,81.559433,7.228442,-45.993534,1001.638945,31.090000,95.041890,39.482422,0.760351 
2019-7-6-4-16-37-64786,,0.000000,0.000000,0.000000,-0.029784,0.753714,0.116444,0.011109,0.003139,-0.004887,81.344933,8.835720,-46.753662,1001.638945,31.090000,95.041890,39.482422,0.763237 
2019-7-6-4-16-37-168932,,0.000000,0.000000,0.000000,-0.033288,0.754251,0.119902,0.009048,0.002097,-0.004738,81.621887,8.781305,-46.653126,1001.638945,31.090000,95.041890,39.482422,0.764447 
2019-7-6-4-16-37-269430,,0.000000,0.000000,0.000000,-0.030757,0.752640,0.118750,0.012647,0.001612,-0.005138,80.746582,8.868060,-47.431015,1001.638945,31.090000,95.041890,39.482422,0.762571 
2019-7-6-4-16-37-389449,,0.000000,0.000000,0.000000,-0.032704,0.750135,0.120133,0.003574,-0.000955,-0.003453,80.182449,8.405771,-47.585342,1001.638945,31.090000,95.041890,39.482422,0.760397 
