time,motor, para, direct
2019-7-6-3-56-11-31603,0,0,0
2019-7-6-3-56-12-31679,0,0,0
2019-7-6-3-56-13-50713,0,0,0
2019-7-6-3-56-14-113574,0,0,0
2019-7-6-3-56-15-117857,0,0,0
2019-7-6-3-56-16-118488,0,0,0
2019-7-6-3-56-17-120207,0,0,0
2019-7-6-3-56-18-121084,0,0,0
2019-7-6-3-56-19-133198,0,0,0
2019-7-6-3-56-20-223669,0,0,0
2019-7-6-3-56-21-248295,0,0,0
2019-7-6-3-56-22-248514,0,0,0
2019-7-6-3-56-23-267250,0,0,0
2019-7-6-3-56-24-268812,0,0,0
2019-7-6-3-56-25-279828,0,0,0
2019-7-6-3-56-26-280905,0,0,0
2019-7-6-3-56-27-282160,0,0,0
2019-7-6-3-56-28-282318,0,0,0
2019-7-6-3-56-29-283311,0,0,0
2019-7-6-3-56-30-293062,0,0,0
2019-7-6-3-56-31-294655,0,0,0
2019-7-6-3-56-32-294971,0,0,0
2019-7-6-3-56-33-302509,0,0,0
2019-7-6-3-56-34-330081,0,0,0
2019-7-6-3-56-35-337931,0,0,0
2019-7-6-3-56-36-382792,0,0,0
2019-7-6-3-56-37-384829,0,0,0
2019-7-6-3-56-38-386121,0,0,0
2019-7-6-3-56-39-387306,0,0,0
2019-7-6-3-56-40-387731,0,0,0
2019-7-6-3-56-41-388427,0,0,0
2019-7-6-3-56-42-393353,0,0,0
2019-7-6-3-56-43-408162,0,0,0
2019-7-6-3-56-44-409264,0,0,0
2019-7-6-3-56-45-448425,0,0,0
2019-7-6-3-56-46-471270,0,0,0
2019-7-6-3-56-47-474496,0,0,0
2019-7-6-3-56-48-474758,0,0,0
2019-7-6-3-56-49-475028,0,0,0
