time,motor, para, direct
2019-7-6-4-17-22-796146,0,0,0
2019-7-6-4-17-23-814159,0,0,0
2019-7-6-4-17-24-825408,0,0,0
2019-7-6-4-17-25-826528,0,0,0
2019-7-6-4-17-26-900903,0,0,0
2019-7-6-4-17-27-911474,0,0,0
2019-7-6-4-17-28-915424,0,0,0
2019-7-6-4-17-29-925299,0,0,0
2019-7-6-4-17-30-931883,0,0,0
2019-7-6-4-17-31-932235,0,0,0
2019-7-6-4-17-32-933224,0,0,0
2019-7-6-4-17-33-934104,0,0,0
2019-7-6-4-17-34-936686,0,0,0
2019-7-6-4-17-35-937619,0,0,0
2019-7-6-4-17-36-948944,0,0,0
2019-7-6-4-17-37-956332,0,0,0
2019-7-6-4-17-38-963793,0,0,0
2019-7-6-4-17-40-7720,0,0,0
2019-7-6-4-17-41-28154,0,0,0
2019-7-6-4-17-42-45171,0,0,0
2019-7-6-4-17-43-45428,0,0,0
2019-7-6-4-17-44-47466,0,0,0
2019-7-6-4-17-45-47849,0,0,0
2019-7-6-4-17-46-49701,0,0,0
2019-7-6-4-17-47-51048,0,0,0
2019-7-6-4-17-48-51080,0,0,0
2019-7-6-4-17-49-51659,0,0,0
2019-7-6-4-17-50-52322,0,0,0
2019-7-6-4-17-51-52452,0,0,0
2019-7-6-4-17-52-54690,0,0,0
2019-7-6-4-17-53-57303,0,0,0
2019-7-6-4-17-54-62123,0,0,0
2019-7-6-4-17-55-79584,0,0,0
2019-7-6-4-17-56-81317,0,0,0
2019-7-6-4-17-57-96334,0,0,0
2019-7-6-4-17-58-96832,0,0,0
2019-7-6-4-17-59-97655,0,0,0
2019-7-6-4-18-0-97673,0,0,0
2019-7-6-4-18-1-98631,0,0,0
2019-7-6-4-18-2-109390,0,0,0
2019-7-6-4-18-3-110208,0,0,0
2019-7-6-4-18-4-110557,0,0,0
2019-7-6-4-18-5-116336,0,0,0
2019-7-6-4-18-6-116458,0,0,0
2019-7-6-4-18-7-116600,0,0,0
2019-7-6-4-18-8-116957,0,0,0
2019-7-6-4-18-9-147676,0,0,0
2019-7-6-4-18-10-147794,0,0,0
2019-7-6-4-18-11-184344,0,0,0
2019-7-6-4-18-12-184519,0,0,0
2019-7-6-4-18-13-184956,0,0,0
2019-7-6-4-18-14-185395,0,0,0
2019-7-6-4-18-15-202409,0,0,0
2019-7-6-4-18-16-206642,0,0,0
2019-7-6-4-18-17-207708,0,0,0
2019-7-6-4-18-18-208933,0,0,0
2019-7-6-4-18-19-209405,0,0,0
2019-7-6-4-18-20-213505,0,0,0
2019-7-6-4-18-21-218778,0,0,0
2019-7-6-4-18-22-219379,0,0,0
2019-7-6-4-18-23-228056,0,0,0
2019-7-6-4-18-24-244145,0,0,0
2019-7-6-4-18-25-244156,0,0,0
2019-7-6-4-18-26-244965,0,0,0
2019-7-6-4-18-27-280417,0,0,0
