time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-6-30-9-54-7-698158,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,995.098672,31.580000,150.151670,46.557617,0.000000 
2019-6-30-9-54-7-810841,,0.000000,0.000000,0.000000,-0.251507,-0.240752,0.834706,-1.247877,1.978027,0.812431,-7.704851,-8.433828,11.972546,995.098672,31.580000,150.151670,46.557617,0.904406 
2019-6-30-9-54-7-915679,,0.000000,0.000000,0.000000,-0.470893,-0.280240,1.166744,-1.587364,2.478745,0.943330,-11.731073,-9.297916,8.308940,995.098672,31.580000,150.151670,46.557617,1.289017 
2019-6-30-9-54-8-16422,,0.000000,0.000000,0.000000,-0.635969,-0.481292,0.977897,-1.172317,4.084128,1.512691,-15.479576,-9.936143,1.897142,995.098672,31.580000,150.151670,46.557617,1.261896 
2019-6-30-9-54-8-120818,,0.000000,0.000000,0.000000,-0.173251,0.008947,-0.159714,1.062024,3.084289,2.284786,-18.367863,-8.596566,-9.468156,995.098672,31.580000,150.151670,46.557617,0.235807 
2019-6-30-9-54-8-221116,,0.000000,0.000000,0.000000,0.024346,0.153534,-0.883901,1.569659,1.427290,0.722504,-19.022955,-8.926597,-16.629734,995.079883,31.580000,150.310413,46.278320,0.897467 
2019-6-30-9-54-8-324105,,0.000000,0.000000,0.000000,-0.563943,0.190218,0.602049,-0.894554,-4.248222,0.070134,-21.852850,-6.821002,-13.480908,995.079883,31.580000,150.310413,46.278320,0.846568 
2019-6-30-9-54-8-424576,,0.000000,0.000000,0.000000,-1.409176,0.252848,2.246789,-0.085211,-0.356883,-0.934495,-20.391890,-3.585474,-4.672343,995.079883,31.580000,150.310413,46.278320,2.664164 
2019-6-30-9-54-8-528991,,0.000000,0.000000,0.000000,-0.710136,-0.300197,0.908953,1.449934,3.707392,-0.153886,-20.131281,-4.846751,-5.357368,995.079883,31.580000,150.310413,46.278320,1.191892 
2019-6-30-9-54-8-633764,,0.000000,0.000000,0.000000,0.025959,0.049568,-0.777981,0.330901,3.062472,-0.372052,-19.587173,-11.085534,-14.177267,995.079883,31.580000,150.310413,46.278320,0.779991 
2019-6-30-9-54-8-734318,,0.000000,0.000000,0.000000,0.029506,0.707904,-0.175482,2.284286,-1.517421,1.908583,-18.415140,-12.747447,-18.126753,995.009492,31.570000,150.905142,46.433594,0.729926 
2019-6-30-9-54-8-850003,,0.000000,0.000000,0.000000,-0.519170,-0.360703,0.540253,2.524269,-1.164630,-2.978871,-19.262445,-18.853928,-11.598362,995.009492,31.570000,150.905142,46.433594,0.831576 
2019-6-30-9-54-8-950320,,0.000000,0.000000,0.000000,-0.431766,-0.350938,0.299295,-1.740613,0.347634,-4.567759,-12.846161,-24.732338,-7.170655,995.009492,31.570000,150.905142,46.433594,0.631788 
2019-6-30-9-54-9-51078,,0.000000,0.000000,0.000000,-1.334036,-1.347065,0.675835,-1.690062,0.087431,-1.276111,-6.725943,-29.423351,-6.515657,995.009492,31.570000,150.905142,46.433594,2.012707 
2019-6-30-9-54-9-151335,,0.000000,0.000000,0.000000,-0.226200,-0.589142,0.095922,-3.010766,-0.602719,1.657958,-5.909029,-29.442066,-9.821586,995.009492,31.570000,150.905142,46.433594,0.638323 
2019-6-30-9-54-9-252305,,0.000000,0.000000,0.000000,-0.295501,0.040262,0.341953,-1.924192,-2.707224,2.595008,-10.003242,-27.423439,-13.700578,994.948984,31.550000,151.416399,46.510742,0.453733 
2019-6-30-9-54-9-365933,,0.000000,0.000000,0.000000,-0.688528,0.390457,1.442750,-0.090532,-2.938693,0.557017,-19.039206,-15.865213,-9.796550,994.948984,31.550000,151.416399,46.510742,1.645617 
2019-6-30-9-54-9-466087,,0.000000,0.000000,0.000000,-1.409371,-0.995066,1.311779,2.627499,2.313790,-0.100142,-22.327127,-13.074053,-5.461961,994.948984,31.550000,151.416399,46.510742,2.167314 
2019-6-30-9-54-9-569592,,0.000000,0.000000,0.000000,-0.267469,-0.455178,-0.380643,0.788518,1.014903,2.724843,-21.450417,-14.020619,-8.307731,994.948984,31.550000,151.416399,46.510742,0.650858 
2019-6-30-9-54-9-669618,,0.000000,0.000000,0.000000,-0.175977,0.187176,-0.165279,-0.678516,-2.432122,1.781408,-21.765108,-11.179267,-7.555490,994.948984,31.550000,151.416399,46.510742,0.305483 
2019-6-30-9-54-9-770437,,0.000000,0.000000,0.000000,-0.592169,0.142082,0.784208,-1.129748,-0.933693,-0.232106,-21.546421,-7.598135,-4.410218,994.828320,31.510000,152.436017,46.057617,0.992892 
2019-6-30-9-54-9-871410,,0.000000,0.000000,0.000000,-0.445198,0.110588,0.796660,-0.223560,-0.838445,-0.883412,-18.963049,-4.990736,-0.739378,994.828320,31.510000,152.436017,46.057617,0.919292 
2019-6-30-9-54-9-990405,,0.000000,0.000000,0.000000,-0.071831,-0.036941,0.974208,-0.171413,-2.804069,-0.946733,-15.630916,-5.635801,5.651864,994.828320,31.510000,152.436017,46.057617,0.977551 
2019-6-30-9-54-10-90867,,0.000000,0.000000,0.000000,-0.031730,0.120787,0.950688,1.105125,-1.169951,0.302135,-10.530877,-5.702113,11.367826,994.828320,31.510000,152.436017,46.057617,0.958856 
2019-6-30-9-54-10-218175,,0.000000,0.000000,0.000000,-0.107649,0.199165,0.977436,1.764413,-0.703288,0.654393,-7.191345,-3.689506,15.351546,994.828320,31.510000,152.436017,46.057617,1.003313 
