time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-53-14-291538,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.684180,29.150000,94.661751,43.751953,0.000000 
2019-7-6-3-53-14-418001,,0.000000,0.000000,0.000000,-0.081370,0.751566,0.056031,-0.002369,0.011422,-0.001637,72.457558,8.093853,-50.602306,1001.684180,29.150000,94.661751,43.751953,0.758032 
2019-7-6-3-53-14-518665,,0.000000,0.000000,0.000000,-0.077671,0.751387,0.053956,-0.001632,0.007849,-0.000974,75.976891,9.229091,-52.817299,1001.684180,29.150000,94.661751,43.751953,0.757316 
2019-7-6-3-53-14-633869,,0.000000,0.000000,0.000000,-0.081759,0.751387,0.059951,-0.002376,0.007972,-0.000239,77.203903,9.506697,-52.784683,1001.684180,29.150000,94.661751,43.751953,0.758196 
2019-7-6-3-53-14-740330,,0.000000,0.000000,0.000000,-0.080396,0.752282,0.057645,-0.001121,0.008554,0.000961,77.996277,8.560117,-51.142578,1001.684180,29.150000,94.661751,43.751953,0.758759 
2019-7-6-3-53-14-840783,,0.000000,0.000000,0.000000,-0.078839,0.752282,0.055570,-0.001079,0.009649,0.001163,77.863686,8.868670,-50.548496,1001.683242,29.100000,94.669629,42.873047,0.758441 
2019-7-6-3-53-14-941518,,0.000000,0.000000,0.000000,-0.080980,0.752640,0.057876,-0.001422,0.005191,-0.000239,77.167198,9.663600,-52.371685,1001.683242,29.100000,94.669629,42.873047,0.759193 
2019-7-6-3-53-15-50090,,0.000000,0.000000,0.000000,-0.079618,0.753177,0.058337,-0.001847,0.004213,0.000761,77.051064,9.628822,-51.346230,1001.683242,29.100000,94.669629,42.873047,0.759617 
2019-7-6-3-53-15-190986,,0.000000,0.000000,0.000000,-0.078255,0.752640,0.056262,-0.001648,0.003164,-0.000801,77.320084,8.675371,-52.264614,1001.683242,29.100000,94.669629,42.873047,0.758786 
2019-7-6-3-53-15-295506,,0.000000,0.000000,0.000000,-0.079423,0.751745,0.057645,-0.000449,0.002134,0.000322,77.050545,9.468180,-51.854778,1001.715117,29.070000,94.401767,43.991211,0.758124 
