time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity
2019-6-30-8-58-35-157889,,0.000000,0.000000,0.000000,0.106575,-0.140333,0.962448,0.461801,-1.560523,-0.523670,-1.373088,-2.227845,15.089115,994.464141,32.150000,155.513963,45.852539 
2019-6-30-8-58-35-259203,,0.000000,0.000000,0.000000,0.247332,-0.038002,0.885434,0.344737,-1.113016,-0.546551,2.944363,-1.450223,14.230343,994.464141,32.150000,155.513963,45.852539 
2019-6-30-8-58-35-360371,,0.000000,0.000000,0.000000,0.247009,-0.042248,0.822024,-0.047963,1.647052,-0.006989,3.431845,-0.586133,12.739995,994.464141,32.150000,155.513963,45.852539 
2019-6-30-8-58-35-465654,,0.000000,0.000000,0.000000,-0.029005,0.067462,1.238454,-0.092128,2.141916,-0.090530,-0.207246,-2.607054,11.841035,994.464141,32.150000,155.513963,45.852539 
2019-6-30-8-58-35-588577,,0.000000,0.000000,0.000000,-0.019077,0.022905,0.937776,0.077084,0.093815,-0.016035,-3.928910,-2.890501,10.654922,994.464141,32.150000,155.513963,46.358398 
2019-6-30-8-58-35-689545,,0.000000,0.000000,0.000000,-0.007203,0.020400,0.946077,0.002537,0.003296,0.000992,-5.255651,-3.051376,10.331526,994.464141,32.150000,155.513963,46.358398 
2019-6-30-8-58-35-789974,,0.000000,0.000000,0.000000,-0.011485,0.020936,0.946077,0.000409,0.002230,-0.000605,-5.147262,-2.530451,10.355699,994.464141,32.150000,155.513963,46.358398 
2019-6-30-8-58-35-891038,,0.000000,0.000000,0.000000,-0.011096,0.017358,0.945155,-0.001188,0.000634,-0.000069,-5.465744,-3.156476,10.256171,994.464141,32.150000,155.513963,46.358398 
2019-6-30-8-58-35-993233,,0.000000,0.000000,0.000000,-0.011875,0.018431,0.944693,0.001472,0.000634,-0.000602,-5.017382,-2.021730,10.622477,994.464141,32.150000,155.513963,46.358398 
2019-6-30-8-58-36-115435,,0.000000,0.000000,0.000000,-0.010512,0.020400,0.941235,0.000940,0.001166,0.000995,-5.236755,-2.591328,10.362882,994.491133,32.150000,155.285801,46.391602 
2019-6-30-8-58-36-216066,,0.000000,0.000000,0.000000,-0.010901,0.018968,0.944924,0.000408,0.000634,-0.000070,-5.789301,-2.765907,10.774185,994.491133,32.150000,155.285801,46.391602 
2019-6-30-8-58-36-316212,,0.000000,0.000000,0.000000,-0.011485,0.020936,0.944924,0.000939,0.001166,-0.000069,-4.865670,-2.915053,24.629232,994.491133,32.150000,155.285801,46.391602 
2019-6-30-8-58-36-417546,,0.000000,0.000000,0.000000,-0.011485,0.018968,0.941926,-0.000125,0.000633,-0.000069,-5.087733,-3.741909,12.948406,994.491133,32.150000,155.285801,46.391602 
2019-6-30-8-58-36-520279,,0.000000,0.000000,0.000000,-0.011875,0.018431,0.939159,-0.000657,-0.000963,-0.000601,-4.709958,-3.115395,10.991580,994.491133,32.150000,155.285801,46.391602 
2019-6-30-8-58-36-644062,,0.000000,0.000000,0.000000,-0.011485,0.019684,0.945155,0.002003,0.000634,-0.000069,-4.659357,-3.048091,10.835870,994.582461,32.140000,154.513852,46.109375 
2019-6-30-8-58-36-744982,,0.000000,0.000000,0.000000,-0.010901,0.018610,0.941465,0.000939,0.000102,-0.000069,-5.570713,-3.287616,11.098682,994.582461,32.140000,154.513852,46.109375 
2019-6-30-8-58-36-846369,,0.000000,0.000000,0.000000,-0.009344,0.019863,0.940543,-0.000126,-0.000429,-0.000069,-5.355144,-3.046978,10.251652,994.582461,32.140000,154.513852,46.109375 
2019-6-30-8-58-36-956549,,0.000000,0.000000,0.000000,-0.009344,0.017894,0.943079,0.000407,-0.000428,-0.000600,-5.328281,-2.710524,10.898086,994.582461,32.140000,154.513852,46.109375 
2019-6-30-8-58-37-61878,,0.000000,0.000000,0.000000,-0.011680,0.018431,0.941926,-0.000657,-0.000960,-0.000600,-5.637825,-3.766339,9.922667,994.582461,32.140000,154.513852,46.109375 
