time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-4-25-27-714399,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.645156,30.850000,94.989694,41.228516,0.000000 
2019-7-6-4-25-27-817399,,0.000000,0.000000,0.000000,-0.028421,0.753714,0.078628,0.001537,0.000558,0.000511,63.364491,5.518764,-46.992512,1001.645156,30.850000,94.989694,41.228516,0.758337 
2019-7-6-4-25-27-918094,,0.000000,0.000000,0.000000,-0.026864,0.753177,0.077937,0.000814,-0.000558,-0.000652,68.298927,6.219906,-51.263660,1001.645156,30.850000,94.989694,41.228516,0.757675 
2019-7-6-4-25-28-18449,,0.000000,0.000000,0.000000,-0.027837,0.750851,0.078398,0.001756,0.000021,0.000755,69.796501,6.102437,-52.114105,1001.645156,30.850000,94.989694,41.228516,0.755445 
2019-7-6-4-25-28-123418,,0.000000,0.000000,0.000000,-0.026474,0.752819,0.077014,0.001041,0.000438,0.002151,69.879364,5.804588,-51.863815,1001.645156,30.850000,94.989694,41.228516,0.757211 
2019-7-6-4-25-28-224157,,0.000000,0.000000,0.000000,-0.028616,0.757472,0.076092,0.001515,0.001549,0.000476,69.351807,6.270610,-52.543449,1001.625625,30.850000,95.153833,41.138672,0.761822 
2019-7-6-4-25-28-324844,,0.000000,0.000000,0.000000,-0.027837,0.754430,0.077937,0.001483,0.000010,0.001952,67.496956,5.938609,-52.943813,1001.625625,30.850000,95.153833,41.138672,0.758955 
2019-7-6-4-25-28-426054,,0.000000,0.000000,0.000000,-0.026669,0.754608,0.081165,-0.000623,0.001092,-0.000317,68.847145,6.543298,-52.831829,1001.625625,30.850000,95.153833,41.138672,0.759429 
2019-7-6-4-25-28-526420,,0.000000,0.000000,0.000000,-0.028616,0.753356,0.076323,0.000880,-0.001038,0.000196,67.818977,5.672480,-53.223053,1001.625625,30.850000,95.153833,41.138672,0.757753 
2019-7-6-4-25-28-627591,,0.000000,0.000000,0.000000,-0.027253,0.754787,0.079090,0.000324,0.000586,-0.000369,68.706940,6.512187,-52.824154,1001.625625,30.850000,95.153833,41.138672,0.759409 
2019-7-6-4-25-28-754252,,0.000000,0.000000,0.000000,-0.026085,0.754251,0.077245,0.000815,-0.000451,-0.000849,67.657402,6.621626,-52.482208,1001.642500,30.860000,95.012017,40.915039,0.758644 
2019-7-6-4-25-28-854819,,0.000000,0.000000,0.000000,-0.026864,0.755324,0.077937,0.000260,0.000084,-0.000346,69.111397,6.437253,-52.556149,1001.642500,30.860000,95.012017,40.915039,0.759810 
2019-7-6-4-25-28-955854,,0.000000,0.000000,0.000000,-0.024528,0.753356,0.077014,-0.001413,0.000566,0.000668,69.647858,5.663091,-52.410061,1001.642500,30.860000,95.012017,40.915039,0.757679 
2019-7-6-4-25-29-57007,,0.000000,0.000000,0.000000,-0.026864,0.753177,0.076784,-0.000839,-0.001024,-0.000960,69.171196,6.510683,-51.993847,1001.642500,30.860000,95.012017,40.915039,0.757557 
2019-7-6-4-25-29-164376,,0.000000,0.000000,0.000000,-0.025501,0.753535,0.076092,0.000764,-0.000579,0.000635,69.204346,5.702795,-51.387451,1001.642500,30.860000,95.012017,40.915039,0.757796 
2019-7-6-4-25-29-265556,,0.000000,0.000000,0.000000,-0.027448,0.753714,0.074708,0.000677,-0.000054,-0.000395,69.185707,6.281891,-51.445358,1001.595430,30.870000,95.407598,40.689453,0.757904 
