time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-51-12-749606,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.805625,28.740000,93.641222,45.860352,0.000000 
2019-7-6-3-51-12-850766,,0.000000,0.000000,0.000000,0.242978,-0.096173,0.895118,-0.002293,0.001542,0.000584,73.019493,-6.972650,-13.777021,1001.805625,28.740000,93.641222,45.860352,0.932483 
2019-7-6-3-51-12-951187,,0.000000,0.000000,0.000000,0.243946,-0.094900,0.890968,-0.002070,-0.000575,-0.000154,82.359032,-7.338082,-15.246760,1001.805625,28.740000,93.641222,45.860352,0.928622 
2019-7-6-3-51-13-64903,,0.000000,0.000000,0.000000,0.243301,-0.099358,0.892812,-0.002764,-0.001141,-0.000526,84.098656,-8.198271,-17.115396,1001.805625,28.740000,93.641222,45.860352,0.930689 
2019-7-6-3-51-13-165482,,0.000000,0.000000,0.000000,0.243784,-0.095749,0.896502,-0.000665,-0.000086,-0.001275,83.972061,-8.403118,-17.015556,1001.805625,28.740000,93.641222,45.860352,0.933978 
2019-7-6-3-51-13-266209,,0.000000,0.000000,0.000000,0.244429,-0.092140,0.896963,0.000439,-0.000094,-0.000139,83.736969,-7.691418,-16.336473,1001.737266,28.770000,94.215647,45.347656,0.934226 
2019-7-6-3-51-13-367118,,0.000000,0.000000,0.000000,0.245558,-0.090017,0.898808,0.000997,-0.001035,-0.001070,83.790047,-7.438899,-16.287575,1001.737266,28.770000,94.215647,45.347656,0.936086 
2019-7-6-3-51-13-468054,,0.000000,0.000000,0.000000,0.245397,-0.089592,0.892121,0.003731,0.000519,-0.002096,84.382309,-7.768320,-16.490526,1001.737266,28.770000,94.215647,45.347656,0.929584 
2019-7-6-3-51-13-568133,,0.000000,0.000000,0.000000,0.246203,-0.100632,0.894427,0.003890,-0.000522,-0.001597,84.339867,-8.192925,-16.955034,1001.737266,28.770000,94.215647,45.347656,0.933135 
2019-7-6-3-51-13-668574,,0.000000,0.000000,0.000000,0.244913,-0.083011,0.897194,0.000378,0.000541,-0.001378,84.877472,-8.113188,-17.461712,1001.737266,28.770000,94.215647,45.347656,0.933718 
2019-7-6-3-51-13-771122,,0.000000,0.000000,0.000000,0.242656,-0.093838,0.894196,-0.006268,-0.000064,0.005032,83.494637,-7.354687,-16.233593,1001.742227,28.740000,94.173959,45.871094,0.931275 
