time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-6-30-9-51-44-803124,,0.000000,0.000000,0.000000,0.336816,-2.056158,0.585908,-2.288157,-2.146910,4.339273,-6.994174,-25.597870,4.252151,994.702109,31.310000,153.502614,46.429688 
2019-6-30-9-51-44-905561,,0.000000,0.000000,0.000000,0.149141,-1.661062,0.959912,2.762124,-0.634114,7.835784,-10.047659,-19.520998,5.491853,994.702109,31.310000,153.502614,46.429688 
2019-6-30-9-51-45-12874,,0.000000,0.000000,0.000000,0.306020,-1.022453,1.250445,1.319034,0.556222,7.405838,-20.453543,-3.995753,9.638673,994.702109,31.310000,153.502614,46.429688 
2019-6-30-9-51-45-113026,,0.000000,0.000000,0.000000,0.788914,-0.232897,0.863759,2.144341,5.226042,8.148134,-16.479988,17.698954,4.136126,994.702109,31.310000,153.502614,46.429688 
2019-6-30-9-51-45-229819,,0.000000,0.000000,0.000000,0.525942,-0.433948,-1.150462,8.810115,9.287125,2.167722,5.405159,25.868261,-15.599106,994.710156,31.250000,153.434607,46.098633 
2019-6-30-9-51-45-335312,,0.000000,0.000000,0.000000,-0.055090,-0.592751,-1.354140,6.188929,4.132551,3.532590,22.045809,13.461329,-21.791666,994.710156,31.250000,153.434607,46.098633 
2019-6-30-9-51-45-436025,,0.000000,0.000000,0.000000,0.191545,-1.320315,-1.750365,4.702206,-1.586063,5.477461,28.867279,-2.209412,-19.109123,994.710156,31.250000,153.434607,46.098633 
2019-6-30-9-51-45-536402,,0.000000,0.000000,0.000000,0.137854,-0.930738,-0.918960,1.498888,-1.044372,5.089551,22.357460,-22.388586,-16.369181,994.710156,31.250000,153.434607,46.098633 
2019-6-30-9-51-45-637059,,0.000000,0.000000,0.000000,-0.692811,-0.413779,-1.182183,-1.839054,-5.010739,6.474108,1.463433,-31.301521,-12.428840,994.710156,31.250000,153.434607,46.098633 
2019-6-30-9-51-45-747784,,0.000000,0.000000,0.000000,0.039663,-0.099783,-1.116331,-5.231271,-8.297599,4.571806,-20.165804,-19.377800,-2.956111,994.716094,31.210000,153.384428,47.136719 
2019-6-30-9-51-45-852342,,0.000000,0.000000,0.000000,0.500468,-0.325249,-0.302177,-7.751356,-5.301805,1.283882,-19.331232,-14.283405,10.514328,994.716094,31.210000,153.384428,47.136719 
2019-6-30-9-51-45-953028,,0.000000,0.000000,0.000000,0.805843,-2.203497,1.736280,-2.349349,-0.191396,-1.703929,-11.698826,-20.985966,9.825017,994.716094,31.210000,153.384428,47.136719 
2019-6-30-9-51-46-53167,,0.000000,0.000000,0.000000,-0.208291,-0.586382,0.860762,6.125607,3.793063,0.582026,-8.270425,-21.385218,8.143885,994.716094,31.210000,153.384428,47.136719 
2019-6-30-9-51-46-154044,,0.000000,0.000000,0.000000,-0.745954,1.529080,-0.388805,0.297378,2.490983,2.900440,-13.290793,-15.108212,12.719074,994.716094,31.210000,153.384428,47.136719 
2019-6-30-9-51-46-262560,,0.000000,0.000000,0.000000,0.027087,-2.453803,1.922360,0.351654,2.160541,-0.791356,-20.013706,-9.636940,8.267392,994.719766,31.180000,153.353396,46.169922 
2019-6-30-9-51-46-367137,,0.000000,0.000000,0.000000,-1.190373,1.779781,-0.735316,0.758188,-2.258121,0.104721,-23.222914,-8.103247,6.712992,994.719766,31.180000,153.353396,46.169922 
2019-6-30-9-51-46-467460,,0.000000,0.000000,0.000000,0.196866,-2.078663,2.124811,0.704444,2.986912,1.608471,-21.889723,-6.535587,8.230864,994.719766,31.180000,153.353396,46.169922 
2019-6-30-9-51-46-568299,,0.000000,0.000000,0.000000,-0.759386,0.975784,-0.102581,-2.759608,-0.440425,0.528815,-23.294172,-5.044013,5.897202,994.719766,31.180000,153.353396,46.169922 
2019-6-30-9-51-46-668878,,0.000000,0.000000,0.000000,-0.929718,0.406562,0.319586,2.025148,2.118504,-0.038417,-23.749525,-2.931119,3.544410,994.719766,31.180000,153.353396,46.169922 
2019-6-30-9-51-46-780340,,0.000000,0.000000,0.000000,-0.485493,0.076767,0.564464,-0.264000,0.030495,0.310117,-25.267843,-1.919491,-0.219930,994.971016,31.180000,151.230245,46.428711 
2019-6-30-9-51-46-886121,,0.000000,0.000000,0.000000,-0.610663,0.060841,0.540022,-0.096917,0.077321,0.049913,-24.926479,0.279779,-1.083992,994.971016,31.180000,151.230245,46.428711 
2019-6-30-9-51-46-991018,,0.000000,0.000000,0.000000,-0.686387,0.131345,0.429343,-0.605410,0.174559,0.089606,-24.638615,0.147970,-1.297607,994.971016,31.180000,151.230245,46.428711 
2019-6-30-9-51-47-92274,,0.000000,0.000000,0.000000,-0.531823,0.077841,0.554318,-0.939577,0.010136,0.080028,-24.476738,-0.312430,0.170367,994.971016,31.180000,151.230245,46.428711 
2019-6-30-9-51-47-193956,,0.000000,0.000000,0.000000,-0.602876,0.122398,0.545787,-0.558584,-0.037222,-0.397276,-23.657654,0.772016,0.605951,994.971016,31.180000,151.230245,46.428711 
