time,motor, para, direct
2019-7-6-3-49-23-416136,0,0,0
2019-7-6-3-49-24-417179,0,0,0
2019-7-6-3-49-25-417674,0,0,0
2019-7-6-3-49-26-418303,0,0,0
2019-7-6-3-49-27-420587,0,0,0
2019-7-6-3-49-28-420596,0,0,0
2019-7-6-3-49-29-421260,0,0,0
2019-7-6-3-49-30-428088,0,0,0
2019-7-6-3-49-31-431193,0,0,0
2019-7-6-3-49-32-438164,0,0,0
2019-7-6-3-49-33-445871,0,0,0
2019-7-6-3-49-34-493639,0,0,0
2019-7-6-3-49-35-494367,0,0,0
2019-7-6-3-49-36-494627,0,0,0
2019-7-6-3-49-37-495992,0,0,0
2019-7-6-3-49-38-496980,0,0,0
2019-7-6-3-49-39-497599,0,0,0
2019-7-6-3-49-40-497895,0,0,0
2019-7-6-3-49-41-502460,0,0,0
2019-7-6-3-49-42-503520,0,0,0
2019-7-6-3-49-43-503698,0,0,0
2019-7-6-3-49-44-504333,0,0,0
2019-7-6-3-49-45-508300,0,0,0
2019-7-6-3-49-46-526309,0,0,0
2019-7-6-3-49-47-533411,0,0,0
2019-7-6-3-49-48-534853,0,0,0
2019-7-6-3-49-49-535462,0,0,0
2019-7-6-3-49-50-553574,0,0,0
2019-7-6-3-49-51-554139,0,0,0
2019-7-6-3-49-52-555925,0,0,0
2019-7-6-3-49-53-556954,0,0,0
2019-7-6-3-49-54-558973,0,0,0
2019-7-6-3-49-55-564170,0,0,0
2019-7-6-3-49-56-565872,0,0,0
2019-7-6-3-49-57-579539,0,0,0
2019-7-6-3-49-58-581188,0,0,0
2019-7-6-3-49-59-582087,0,0,0
2019-7-6-3-50-0-588788,0,0,0
2019-7-6-3-50-1-604800,0,0,0
2019-7-6-3-50-2-605305,0,0,0
2019-7-6-3-50-3-608118,0,0,0
2019-7-6-3-50-4-613524,0,0,0
2019-7-6-3-50-5-619701,0,0,0
2019-7-6-3-50-6-620669,0,0,0
2019-7-6-3-50-7-621127,0,0,0
2019-7-6-3-50-8-637309,0,0,0
2019-7-6-3-50-9-661204,0,0,0
2019-7-6-3-50-10-684655,0,0,0
2019-7-6-3-50-11-685086,0,0,0
2019-7-6-3-50-12-687622,0,0,0
2019-7-6-3-50-13-688635,0,0,0
2019-7-6-3-50-14-689430,0,0,0
2019-7-6-3-50-15-689452,0,0,0
2019-7-6-3-50-16-691164,0,0,0
2019-7-6-3-50-17-708408,0,0,0
2019-7-6-3-50-18-711309,0,0,0
2019-7-6-3-50-19-726459,0,0,0
2019-7-6-3-50-20-728076,0,0,0
2019-7-6-3-50-21-729295,0,0,0
2019-7-6-3-50-22-732156,0,0,0
2019-7-6-3-50-23-820436,0,0,0
2019-7-6-3-50-24-827356,0,0,0
2019-7-6-3-50-25-829337,0,0,0
2019-7-6-3-50-26-831270,0,0,0
2019-7-6-3-50-27-832149,0,0,0
2019-7-6-3-50-28-879300,0,0,0
2019-7-6-3-50-29-908819,0,0,0
2019-7-6-3-50-30-917110,0,0,0
2019-7-6-3-50-31-938242,0,0,0
2019-7-6-3-50-32-950770,0,0,0
2019-7-6-3-50-33-962620,0,0,0
2019-7-6-3-50-34-963707,0,0,0
2019-7-6-3-50-36-482684,0,0,0
2019-7-6-3-50-37-482980,0,0,0
2019-7-6-3-50-38-502802,0,0,0
2019-7-6-3-50-39-805553,0,0,0
2019-7-6-3-50-40-837733,0,0,0
2019-7-6-3-50-41-839323,0,0,0
2019-7-6-3-50-42-840510,0,0,0
2019-7-6-3-50-43-843122,0,0,0
