time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-52-53-229867,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.736719,28.880000,94.220242,43.916992,0.000000 
2019-7-6-3-52-53-343496,,0.000000,0.000000,0.000000,-0.051781,0.753356,0.115060,0.001237,-0.005072,-0.004338,66.777649,9.014589,-45.307411,1001.736719,28.880000,94.220242,43.916992,0.763849 
2019-7-6-3-52-53-448107,,0.000000,0.000000,0.000000,-0.052949,0.754251,0.112063,-0.000104,-0.001169,-0.001717,71.651657,9.203392,-48.476089,1001.736719,28.880000,94.220242,43.916992,0.764366 
2019-7-6-3-52-53-554037,,0.000000,0.000000,0.000000,-0.050807,0.750851,0.110449,0.000042,0.003447,-0.001309,72.143608,8.739784,-50.113678,1001.736719,28.880000,94.220242,43.916992,0.760629 
2019-7-6-3-52-53-654221,,0.000000,0.000000,0.000000,-0.052559,0.752103,0.110679,-0.001570,0.005231,-0.000966,72.026077,9.102359,-49.376625,1001.736719,28.880000,94.220242,43.916992,0.762018 
2019-7-6-3-52-53-754354,,0.000000,0.000000,0.000000,-0.052949,0.752282,0.109526,0.000623,-0.007005,-0.002339,72.187172,8.799984,-49.542686,1001.728281,28.880000,94.291145,43.803711,0.762055 
2019-7-6-3-52-53-855115,,0.000000,0.000000,0.000000,-0.052365,0.752640,0.111832,-0.001548,-0.008455,-0.002002,73.432236,7.718015,-48.075027,1001.728281,28.880000,94.291145,43.803711,0.762703 
2019-7-6-3-52-53-981585,,0.000000,0.000000,0.000000,-0.049639,0.751924,0.112063,0.000804,-0.007488,-0.001903,72.460846,8.325402,-50.113892,1001.728281,28.880000,94.291145,43.803711,0.761848 
2019-7-6-3-52-54-81887,,0.000000,0.000000,0.000000,-0.054895,0.751924,0.108604,0.003467,-0.001411,-0.000697,72.555168,9.059664,-49.270100,1001.728281,28.880000,94.291145,43.803711,0.761708 
2019-7-6-3-52-54-186634,,0.000000,0.000000,0.000000,-0.051586,0.752103,0.111371,-0.000222,-0.000982,-0.000650,74.131386,10.187160,-47.624332,1001.728281,28.880000,94.291145,43.803711,0.762052 
2019-7-6-3-52-54-286785,,0.000000,0.000000,0.000000,-0.046914,0.750493,0.118750,-0.009517,0.011669,0.005651,74.616096,9.138978,-46.445698,1001.754805,28.830000,94.068263,44.112305,0.761276 
2019-7-6-3-52-54-387210,,0.000000,0.000000,0.000000,-0.049834,0.753177,0.126128,-0.008050,0.003414,0.003838,73.722336,9.924556,-46.756866,1001.754805,28.830000,94.068263,44.112305,0.765289 
2019-7-6-3-52-54-487559,,0.000000,0.000000,0.000000,-0.045746,0.752640,0.112524,-0.000842,-0.012556,0.000541,73.044266,9.700223,-47.638237,1001.754805,28.830000,94.068263,44.112305,0.762379 
2019-7-6-3-52-54-588306,,0.000000,0.000000,0.000000,-0.052365,0.752640,0.107221,0.001751,-0.017305,-0.004658,73.029701,9.509125,-48.288193,1001.754805,28.830000,94.068263,44.112305,0.762040 
2019-7-6-3-52-55-55647,,0.000000,0.000000,0.000000,-0.048666,0.747451,0.116213,-0.002151,0.018893,0.002080,72.973091,9.636454,-49.237438,1001.754805,28.830000,94.068263,44.112305,0.757995 
2019-7-6-3-52-55-494340,,0.000000,0.000000,0.000000,-0.137044,0.790755,0.026978,-0.003279,-0.182739,0.881624,75.542747,9.140356,-49.775665,1001.787266,28.800000,93.795493,43.762695,0.802996 
