time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-49-2-35884,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.861211,27.770000,93.174156,47.680664,0.000000 
2019-7-6-3-49-2-137056,,0.000000,0.000000,0.000000,0.243301,-0.098084,0.892351,-0.032096,0.013291,-0.017725,72.308327,-7.065095,-15.391442,1001.861211,27.770000,93.174156,47.680664,0.930111 
2019-7-6-3-49-2-251230,,0.000000,0.000000,0.000000,0.244591,-0.096386,0.888201,-0.024651,0.009195,-0.013650,81.464256,-7.383664,-16.631931,1001.861211,27.770000,93.174156,47.680664,0.926291 
2019-7-6-3-49-2-360081,,0.000000,0.000000,0.000000,0.245397,-0.096810,0.891429,-0.018732,0.007797,-0.011569,82.994926,-8.607095,-17.757555,1001.861211,27.770000,93.174156,47.680664,0.929644 
2019-7-6-3-49-2-470714,,0.000000,0.000000,0.000000,0.244268,-0.097660,0.890737,-0.015479,0.005813,-0.007509,83.493546,-7.901253,-17.237677,1001.861211,27.770000,93.174156,47.680664,0.928772 
2019-7-6-3-49-2-589785,,0.000000,0.000000,0.000000,0.244429,-0.098084,0.886587,-0.013095,0.004914,-0.005762,83.198395,-8.168250,-17.591940,1001.833789,27.770000,93.404568,48.047852,0.924880 
2019-7-6-3-49-2-697705,,0.000000,0.000000,0.000000,0.243784,-0.097660,0.890737,-0.010709,0.004902,-0.003957,82.995178,-9.002918,-17.834948,1001.833789,27.770000,93.404568,48.047852,0.928645 
2019-7-6-3-49-2-805599,,0.000000,0.000000,0.000000,0.244107,-0.098084,0.886356,-0.008314,0.003088,-0.004587,82.625572,-8.288895,-17.399214,1001.833789,27.770000,93.404568,48.047852,0.924573 
2019-7-6-3-49-2-955390,,0.000000,0.000000,0.000000,0.243623,-0.097447,0.889123,-0.007324,0.002975,-0.002711,82.965202,-8.862667,-17.518229,1001.833789,27.770000,93.404568,48.047852,0.927032 
2019-7-6-3-49-3-55634,,0.000000,0.000000,0.000000,0.244107,-0.097660,0.888201,-0.004859,0.001403,-0.002525,83.682144,-7.444113,-17.503056,1001.801484,27.800000,93.676015,47.951172,0.926297 
2019-7-6-3-49-3-160939,,0.000000,0.000000,0.000000,0.243623,-0.098933,0.888201,-0.004240,0.001954,-0.002496,82.991982,-8.486270,-17.784786,1001.801484,27.800000,93.676015,47.951172,0.926305 
2019-7-6-3-49-3-262220,,0.000000,0.000000,0.000000,0.242656,-0.098933,0.890737,-0.002949,0.001212,-0.002065,84.766273,-7.108161,-15.124916,1001.801484,27.800000,93.676015,47.951172,0.928484 
2019-7-6-3-49-3-362481,,0.000000,0.000000,0.000000,0.243140,-0.098933,0.887970,-0.002861,0.001527,-0.002152,85.539467,-7.339170,-14.661508,1001.801484,27.800000,93.676015,47.951172,0.925957 
2019-7-6-3-49-3-462816,,0.000000,0.000000,0.000000,0.243462,-0.098721,0.892121,-0.002430,0.001346,-0.000865,85.235748,-7.934524,-15.603642,1001.801484,27.800000,93.676015,47.951172,0.929999 
2019-7-6-3-49-3-562894,,0.000000,0.000000,0.000000,0.244752,-0.097235,0.889354,-0.001718,0.001679,-0.000718,84.454460,-7.257237,-16.621714,1001.834961,27.820000,93.394721,47.652344,0.927528 
2019-7-6-3-49-3-663754,,0.000000,0.000000,0.000000,0.245236,-0.098721,0.893043,-0.002485,0.001004,-0.000470,85.820122,-9.220290,-17.275696,1001.834961,27.820000,93.394721,47.652344,0.931350 
2019-7-6-3-49-3-764218,,0.000000,0.000000,0.000000,0.244268,-0.097872,0.886126,-0.000561,0.000843,-0.001428,84.218903,-7.207118,-16.371124,1001.834961,27.820000,93.394721,47.652344,0.924372 
2019-7-6-3-49-3-864302,,0.000000,0.000000,0.000000,0.242656,-0.098933,0.890276,-0.000264,0.000817,-0.000873,84.701210,-7.340507,-16.474281,1001.834961,27.820000,93.394721,47.652344,0.928042 
2019-7-6-3-49-3-965095,,0.000000,0.000000,0.000000,0.243946,-0.097235,0.892582,-0.001211,-0.001293,-0.000266,84.283356,-7.136244,-16.147560,1001.834961,27.820000,93.394721,47.652344,0.930412 
2019-7-6-3-49-4-86820,,0.000000,0.000000,0.000000,0.242656,-0.097872,0.889354,-0.000871,0.000733,-0.001206,81.990639,-8.525023,-16.644054,1001.807500,27.820000,93.625467,47.885742,0.927044 
2019-7-6-3-49-4-188531,,0.000000,0.000000,0.000000,0.244268,-0.098084,0.890968,-0.000193,0.000589,0.000504,82.934875,-7.724924,-17.238409,1001.807500,27.820000,93.625467,47.885742,0.929038 
2019-7-6-3-49-4-291602,,0.000000,0.000000,0.000000,0.243623,-0.097235,0.884281,-0.000129,-0.000016,0.000023,82.667992,-6.987175,-17.220448,1001.807500,27.820000,93.625467,47.885742,0.922366 
2019-7-6-3-49-4-396636,,0.000000,0.000000,0.000000,0.244429,-0.096173,0.892582,0.000979,-0.000047,0.000053,82.966164,-7.650947,-17.580801,1001.807500,27.820000,93.625467,47.885742,0.930429 
2019-7-6-3-49-4-497185,,0.000000,0.000000,0.000000,0.244752,-0.097872,0.890968,-0.000644,0.000446,0.000031,83.427826,-8.786123,-17.224834,1001.807500,27.820000,93.625467,47.885742,0.929143 
2019-7-6-3-49-4-598383,,0.000000,0.000000,0.000000,0.242978,-0.097235,0.890276,-0.000027,-0.000050,0.000597,83.450104,-7.928782,-16.805817,1001.878984,27.830000,93.024817,47.788086,0.927946 
2019-7-6-3-49-4-699212,,0.000000,0.000000,0.000000,0.244429,-0.095537,0.891890,-0.000049,0.001563,0.000130,82.303711,-7.503953,-18.060751,1001.878984,27.830000,93.024817,47.788086,0.929699 
2019-7-6-3-49-4-800431,,0.000000,0.000000,0.000000,0.243301,-0.095537,0.889123,0.002094,0.000523,-0.000912,83.552444,-6.941504,-17.127472,1001.878984,27.830000,93.024817,47.788086,0.926748 
2019-7-6-3-49-4-903874,,0.000000,0.000000,0.000000,0.243784,-0.097872,0.893504,-0.000024,-0.000005,-0.000897,83.136688,-6.495728,-17.186491,1001.878984,27.830000,93.024817,47.788086,0.931321 
2019-7-6-3-49-5-23155,,0.000000,0.000000,0.000000,0.244107,-0.098084,0.888893,0.001053,0.001022,0.000209,83.318123,-6.966868,-17.393383,1001.878984,27.830000,93.024817,47.788086,0.927005 
2019-7-6-3-49-5-123274,,0.000000,0.000000,0.000000,0.244913,-0.097872,0.890276,-0.001534,-0.001617,0.000216,83.720108,-7.267956,-16.377184,1001.813203,27.840000,93.577545,48.056641,0.928522 
