time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-54-7-537809,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.706094,29.010000,94.477595,43.525391,0.000000 
2019-7-6-3-54-7-668745,,0.000000,0.000000,0.000000,-0.064629,0.751387,0.091080,0.002645,0.000175,0.003008,68.979202,7.903572,-50.652351,1001.706094,29.010000,94.477595,43.525391,0.759642 
2019-7-6-3-54-7-773530,,0.000000,0.000000,0.000000,-0.066381,0.752282,0.085776,0.000748,-0.001160,0.002586,71.829506,9.572330,-52.873753,1001.706094,29.010000,94.477595,43.525391,0.760061 
2019-7-6-3-54-7-874816,,0.000000,0.000000,0.000000,-0.065018,0.752461,0.093386,0.000016,-0.001425,0.001707,73.010742,8.888660,-53.287182,1001.706094,29.010000,94.477595,43.525391,0.761016 
2019-7-6-3-54-7-978278,,0.000000,0.000000,0.000000,-0.065407,0.753356,0.084854,0.002421,-0.002852,0.001419,73.802483,8.623030,-52.902149,1001.706094,29.010000,94.477595,43.525391,0.760936 
2019-7-6-3-54-8-79567,,0.000000,0.000000,0.000000,-0.065407,0.752819,0.092233,0.001172,-0.002435,-0.000937,73.225342,8.647549,-51.910553,1001.752656,29.010000,94.086317,43.346680,0.761263 
2019-7-6-3-54-8-185263,,0.000000,0.000000,0.000000,-0.065018,0.752282,0.090388,0.000493,-0.001897,0.000397,73.183159,8.912972,-50.840179,1001.752656,29.010000,94.086317,43.346680,0.760477 
2019-7-6-3-54-8-290522,,0.000000,0.000000,0.000000,-0.063461,0.752103,0.089696,0.000931,-0.002265,0.000196,74.379623,9.501968,-50.364933,1001.752656,29.010000,94.086317,43.346680,0.760087 
2019-7-6-3-54-8-390753,,0.000000,0.000000,0.000000,-0.064629,0.753535,0.087621,0.001347,0.001488,-0.000348,73.375542,8.982001,-52.716267,1001.752656,29.010000,94.086317,43.346680,0.761360 
2019-7-6-3-54-8-490818,,0.000000,0.000000,0.000000,-0.064434,0.752282,0.086007,0.000714,-0.000065,0.000684,73.974129,9.360778,-52.264736,1001.752656,29.010000,94.086317,43.346680,0.759919 
2019-7-6-3-54-8-590875,,0.000000,0.000000,0.000000,-0.065407,0.753177,0.092463,0.000197,-0.000559,-0.000001,73.629967,8.320465,-52.796192,1001.757656,28.980000,94.044301,43.165039,0.761645 
2019-7-6-3-54-8-699014,,0.000000,0.000000,0.000000,-0.063850,0.751387,0.088313,0.000706,-0.001499,-0.001089,72.903236,8.159396,-52.204086,1001.757656,28.980000,94.044301,43.165039,0.759249 
2019-7-6-3-54-8-820264,,0.000000,0.000000,0.000000,-0.065602,0.752640,0.087852,-0.000908,-0.002445,-0.000659,71.921310,9.076180,-53.048405,1001.757656,28.980000,94.044301,43.165039,0.760584 
2019-7-6-3-54-8-924800,,0.000000,0.000000,0.000000,-0.065797,0.752461,0.090157,0.001718,-0.001885,-0.000101,72.675621,9.204581,-53.579361,1001.757656,28.980000,94.044301,43.165039,0.760694 
2019-7-6-3-54-9-26313,,0.000000,0.000000,0.000000,-0.066186,0.752103,0.089696,-0.000409,-0.001472,-0.001179,73.230354,9.440143,-53.647697,1001.757656,28.980000,94.044301,43.165039,0.760319 
2019-7-6-3-54-9-140232,,0.000000,0.000000,0.000000,-0.064823,0.750851,0.092002,0.000132,-0.002430,-0.000190,71.628746,8.360135,-54.814438,1001.760156,28.960000,94.023293,43.341797,0.759238 
2019-7-6-3-54-9-240771,,0.000000,0.000000,0.000000,-0.066575,0.752282,0.089466,0.000111,-0.000385,-0.000145,71.624954,8.908179,-53.985851,1001.760156,28.960000,94.023293,43.341797,0.760503 
2019-7-6-3-54-9-340917,,0.000000,0.000000,0.000000,-0.063461,0.752282,0.088313,0.000604,0.001758,0.000430,71.634392,8.632642,-53.129112,1001.760156,28.960000,94.023293,43.341797,0.760102 
2019-7-6-3-54-9-441501,,0.000000,0.000000,0.000000,-0.064629,0.751566,0.090849,0.000037,0.000239,-0.000149,71.905914,9.068470,-53.174610,1001.760156,28.960000,94.023293,43.341797,0.759791 
2019-7-6-3-54-9-549245,,0.000000,0.000000,0.000000,-0.065797,0.753177,0.094308,0.000028,-0.000324,0.000385,71.985786,8.715861,-53.770496,1001.760156,28.960000,94.023293,43.341797,0.761905 
2019-7-6-3-54-9-660544,,0.000000,0.000000,0.000000,-0.065407,0.751208,0.090619,0.000076,-0.000333,-0.000617,73.166992,8.881554,-52.813511,992.362266,23.350000,173.296285,43.004883,0.759476 
2019-7-6-3-54-9-779400,,0.000000,0.000000,0.000000,-0.065602,0.753714,0.090157,0.000108,-0.001896,0.000427,72.914154,8.677955,-52.935093,992.362266,23.350000,173.296285,43.004883,0.761916 
2019-7-6-3-54-9-886577,,0.000000,0.000000,0.000000,-0.063655,0.752819,0.089927,0.001179,-0.001908,-0.000717,72.023605,8.678940,-53.519089,992.362266,23.350000,173.296285,43.004883,0.760839 
2019-7-6-3-54-9-993477,,0.000000,0.000000,0.000000,-0.065407,0.751924,0.091080,0.000566,-0.001807,0.000435,72.553452,9.043450,-53.792336,992.362266,23.350000,173.296285,43.004883,0.760239 
2019-7-6-3-54-10-115639,,0.000000,0.000000,0.000000,-0.065018,0.752103,0.086699,-0.000997,-0.000855,0.000994,72.462296,8.645023,-53.352497,1001.716094,28.950000,94.393561,43.453125,0.759871 
2019-7-6-3-54-10-218427,,0.000000,0.000000,0.000000,-0.065213,0.746914,0.086699,-0.000436,-0.001422,-0.000157,71.904961,9.275433,-53.168468,1001.716094,28.950000,94.393561,43.453125,0.754751 
2019-7-6-3-54-10-318796,,0.000000,0.000000,0.000000,-0.063071,0.752461,0.092924,0.001140,-0.000911,-0.000130,72.876183,8.498934,-52.699631,1001.716094,28.950000,94.393561,43.453125,0.760796 
2019-7-6-3-54-10-441897,,0.000000,0.000000,0.000000,-0.063461,0.752819,0.090849,-0.000952,0.000700,0.001400,74.665848,8.947446,-51.404720,1001.716094,28.950000,94.393561,43.453125,0.760932 
2019-7-6-3-54-10-541963,,0.000000,0.000000,0.000000,-0.063655,0.754787,0.092463,0.000142,-0.000299,-0.000229,73.884575,9.419112,-51.762535,1001.716094,28.950000,94.393561,43.453125,0.763089 
2019-7-6-3-54-10-642199,,0.000000,0.000000,0.000000,-0.065602,0.751924,0.091772,-0.001482,-0.001406,0.000880,74.567619,8.084021,-52.993797,1001.674219,28.930000,94.745459,43.416992,0.760339 
2019-7-6-3-54-10-743298,,0.000000,0.000000,0.000000,-0.066381,0.751745,0.090157,-0.002552,-0.006144,-0.000274,73.467300,8.708630,-52.952091,1001.674219,28.930000,94.745459,43.416992,0.760037 
2019-7-6-3-54-10-844430,,0.000000,0.000000,0.000000,-0.065018,0.752640,0.085546,0.001088,-0.007254,-0.000152,72.950653,8.632028,-51.917614,1001.674219,28.930000,94.745459,43.416992,0.760271 
2019-7-6-3-54-10-944626,,0.000000,0.000000,0.000000,-0.064045,0.751924,0.088774,-0.004732,-0.011914,-0.001116,73.281059,8.697697,-52.192764,1001.674219,28.930000,94.745459,43.416992,0.759850 
2019-7-6-3-54-11-45170,,0.000000,0.000000,0.000000,-0.061709,0.750672,0.092463,-0.000341,-0.001768,-0.000805,73.197945,9.040658,-52.056534,1001.674219,28.930000,94.745459,43.416992,0.758858 
2019-7-6-3-54-11-146337,,0.000000,0.000000,0.000000,-0.063461,0.756398,0.087160,0.000521,-0.003922,0.002688,72.826340,8.972823,-52.795479,1001.699219,28.940000,94.535369,44.616211,0.764043 
2019-7-6-3-54-11-247116,,0.000000,0.000000,0.000000,-0.065018,0.754072,0.086007,0.000517,-0.008395,-0.003158,73.583145,9.420158,-52.258022,1001.699219,28.940000,94.535369,44.616211,0.761740 
2019-7-6-3-54-11-347656,,0.000000,0.000000,0.000000,-0.066770,0.754608,0.085776,0.000506,-0.012177,-0.001119,73.644096,9.107997,-52.390221,1001.699219,28.940000,94.535369,44.616211,0.762397 
2019-7-6-3-54-11-448734,,0.000000,0.000000,0.000000,-0.065213,0.754966,0.093847,-0.000194,0.014488,0.001402,73.711594,8.977831,-52.713673,1001.699219,28.940000,94.535369,44.616211,0.763567 
2019-7-6-3-54-11-548737,,0.000000,0.000000,0.000000,-0.074751,0.752461,0.080242,0.008988,-0.004100,-0.004261,73.513283,9.009238,-51.287346,1001.699219,28.940000,94.535369,44.616211,0.760411 
2019-7-6-3-54-11-648790,,0.000000,0.000000,0.000000,-0.058399,0.752819,0.094308,-0.002250,0.017663,0.003700,73.817368,9.100700,-52.138939,1001.713594,28.970000,94.414570,42.894531,0.760947 
2019-7-6-3-54-11-753423,,0.000000,0.000000,0.000000,-0.062682,0.752640,0.091541,0.000293,0.012933,0.004843,73.370659,9.470352,-51.496792,1001.713594,28.970000,94.414570,42.894531,0.760773 
2019-7-6-3-54-11-864913,,0.000000,0.000000,0.000000,-0.066965,0.755324,0.083240,0.000638,0.007929,0.000194,72.888840,8.591976,-52.786476,1001.713594,28.970000,94.414570,42.894531,0.762842 
2019-7-6-3-54-11-971199,,0.000000,0.000000,0.000000,-0.066575,0.752282,0.088082,0.002157,0.000698,0.000318,72.689339,9.104711,-53.391281,1001.713594,28.970000,94.414570,42.894531,0.760342 
2019-7-6-3-54-12-80117,,0.000000,0.000000,0.000000,-0.059373,0.752103,0.085776,-0.000913,-0.001515,-0.002072,72.006752,9.419701,-53.198082,1001.713594,28.970000,94.414570,42.894531,0.759304 
2019-7-6-3-54-12-180391,,0.000000,0.000000,0.000000,-0.069885,0.754787,0.088774,-0.001609,-0.002395,-0.000101,72.784515,9.468226,-53.019356,1001.708594,29.000000,94.456587,43.860352,0.763196 
2019-7-6-3-54-12-280892,,0.000000,0.000000,0.000000,-0.063655,0.753714,0.088082,0.003344,-0.002618,-0.002451,72.532852,9.443010,-53.404652,1001.708594,29.000000,94.456587,43.860352,0.761508 
2019-7-6-3-54-12-381773,,0.000000,0.000000,0.000000,-0.063266,0.752103,0.093386,-0.000826,0.000583,0.002363,72.713562,8.726246,-53.236820,1001.708594,29.000000,94.456587,43.860352,0.760515 
2019-7-6-3-54-12-481930,,0.000000,0.000000,0.000000,-0.066186,0.752640,0.087621,0.003184,-0.002885,-0.002864,73.694176,9.087943,-51.500221,1001.708594,29.000000,94.456587,43.860352,0.760608 
2019-7-6-3-54-12-582851,,0.000000,0.000000,0.000000,-0.065602,0.753356,0.090157,-0.000295,0.000691,-0.000711,73.708794,8.894664,-51.244892,1001.708594,29.000000,94.456587,43.860352,0.761562 
2019-7-6-3-54-12-682998,,0.000000,0.000000,0.000000,-0.063071,0.753714,0.089005,0.002898,-0.005162,0.000353,74.273125,9.191306,-50.298336,1001.632031,29.020000,95.099995,43.392578,0.761567 
2019-7-6-3-54-12-783303,,0.000000,0.000000,0.000000,-0.067938,0.762482,0.099381,-0.002955,-0.004630,-0.000711,73.464569,9.440403,-51.659260,1001.632031,29.020000,95.099995,43.392578,0.771927 
