time,motor, para, direct
2019-7-6-3-54-8-387744,0,0,0
2019-7-6-3-54-9-396064,0,0,0
2019-7-6-3-54-10-441428,0,0,0
2019-7-6-3-54-11-448260,0,0,0
2019-7-6-3-54-12-472329,0,0,0
2019-7-6-3-54-13-480163,0,0,0
2019-7-6-3-54-14-502184,0,0,0
2019-7-6-3-54-15-507592,0,0,0
2019-7-6-3-54-16-562728,0,0,0
2019-7-6-3-54-17-563329,0,0,0
2019-7-6-3-54-18-566130,0,0,0
2019-7-6-3-54-19-582526,0,0,0
2019-7-6-3-54-20-583920,0,0,0
2019-7-6-3-54-21-584360,0,0,0
2019-7-6-3-54-22-599199,0,0,0
2019-7-6-3-54-23-602022,0,0,0
2019-7-6-3-54-24-609588,0,0,0
2019-7-6-3-54-25-611227,0,0,0
2019-7-6-3-54-26-612101,0,0,0
2019-7-6-3-54-27-614306,0,0,0
2019-7-6-3-54-28-615584,0,0,0
2019-7-6-3-54-29-616354,0,0,0
2019-7-6-3-54-30-617767,0,0,0
2019-7-6-3-54-31-619420,0,0,0
2019-7-6-3-54-32-633457,0,0,0
2019-7-6-3-54-33-637145,0,0,0
2019-7-6-3-54-34-680871,0,0,0
2019-7-6-3-54-35-690526,0,0,0
