time,motor, para, direct
2019-7-6-4-6-53-141659,0,0,0
2019-7-6-4-6-54-142259,0,0,0
2019-7-6-4-6-55-143292,0,0,0
2019-7-6-4-6-56-144247,0,0,0
2019-7-6-4-6-57-144367,0,0,0
2019-7-6-4-6-58-144561,0,0,0
2019-7-6-4-6-59-144565,0,0,0
2019-7-6-4-7-0-145436,0,0,0
2019-7-6-4-7-1-146456,0,0,0
2019-7-6-4-7-2-229212,0,0,0
2019-7-6-4-7-3-245227,0,0,0
2019-7-6-4-7-4-251117,0,0,0
2019-7-6-4-7-5-277496,0,0,0
2019-7-6-4-7-6-277688,0,0,0
2019-7-6-4-7-7-278869,0,0,0
2019-7-6-4-7-8-283078,0,0,0
2019-7-6-4-7-9-283473,0,0,0
2019-7-6-4-7-10-298857,0,0,0
2019-7-6-4-7-11-301938,0,0,0
2019-7-6-4-7-12-314626,0,0,0
2019-7-6-4-7-13-315595,0,0,0
2019-7-6-4-7-14-315615,0,0,0
2019-7-6-4-7-15-316744,0,0,0
2019-7-6-4-7-16-317444,0,0,0
2019-7-6-4-7-17-325284,0,0,0
2019-7-6-4-7-18-326675,0,0,0
2019-7-6-4-7-19-329575,0,0,0
2019-7-6-4-7-20-345137,0,0,0
2019-7-6-4-7-21-354565,0,0,0
2019-7-6-4-7-22-354657,0,0,0
2019-7-6-4-7-23-368830,0,0,0
2019-7-6-4-7-24-368996,0,0,0
2019-7-6-4-7-25-370330,0,0,0
2019-7-6-4-7-26-377250,0,0,0
2019-7-6-4-7-27-398519,0,0,0
2019-7-6-4-7-28-399089,0,0,0
2019-7-6-4-7-29-399481,0,0,0
2019-7-6-4-7-30-411932,0,0,0
2019-7-6-4-7-31-432246,0,0,0
2019-7-6-4-7-32-458735,0,0,0
2019-7-6-4-7-33-477216,0,0,0
2019-7-6-4-7-34-477770,0,0,0
2019-7-6-4-7-35-481384,0,0,0
2019-7-6-4-7-36-482323,0,0,0
2019-7-6-4-7-37-483991,0,0,0
2019-7-6-4-7-38-489691,0,0,0
2019-7-6-4-7-39-490542,0,0,0
2019-7-6-4-7-40-503983,0,0,0
2019-7-6-4-7-41-510013,0,0,0
2019-7-6-4-7-42-510147,0,0,0
2019-7-6-4-7-43-511190,0,0,0
2019-7-6-4-7-44-548716,0,0,0
2019-7-6-4-7-45-568109,0,0,0
2019-7-6-4-7-46-571241,0,0,0
2019-7-6-4-7-47-571904,0,0,0
2019-7-6-4-7-48-576316,0,0,0
2019-7-6-4-7-49-576583,0,0,0
2019-7-6-4-7-50-577216,0,0,0
2019-7-6-4-7-51-619511,0,0,0
2019-7-6-4-7-52-619782,0,0,0
2019-7-6-4-7-53-620877,0,0,0
2019-7-6-4-7-54-657668,0,0,0
2019-7-6-4-7-55-663240,0,0,0
2019-7-6-4-7-56-672016,0,0,0
