time,motor, para, direct
2019-7-6-4-7-57-672076,0,0,0
2019-7-6-4-7-58-697923,0,0,0
2019-7-6-4-7-59-699234,0,0,0
2019-7-6-4-8-0-699666,0,0,0
2019-7-6-4-8-1-703807,0,0,0
2019-7-6-4-8-2-704938,0,0,0
2019-7-6-4-8-3-711455,0,0,0
2019-7-6-4-8-4-717528,0,0,0
2019-7-6-4-8-5-718434,0,0,0
2019-7-6-4-8-6-721816,0,0,0
2019-7-6-4-8-7-722690,0,0,0
2019-7-6-4-8-8-732714,0,0,0
2019-7-6-4-8-9-733393,0,0,0
2019-7-6-4-8-10-774086,0,0,0
2019-7-6-4-8-11-814128,0,0,0
2019-7-6-4-8-12-844109,0,0,0
2019-7-6-4-8-13-849630,0,0,0
2019-7-6-4-8-14-850923,0,0,0
2019-7-6-4-8-15-862865,0,0,0
2019-7-6-4-8-16-888688,0,0,0
2019-7-6-4-8-17-889123,0,0,0
2019-7-6-4-8-18-890479,0,0,0
2019-7-6-4-8-19-895246,0,0,0
2019-7-6-4-8-20-900712,0,0,0
2019-7-6-4-8-21-900920,0,0,0
2019-7-6-4-8-22-902513,0,0,0
2019-7-6-4-8-23-902954,0,0,0
2019-7-6-4-8-24-908472,0,0,0
2019-7-6-4-8-25-915474,0,0,0
2019-7-6-4-8-26-915864,0,0,0
2019-7-6-4-8-27-916153,0,0,0
2019-7-6-4-8-28-917442,0,0,0
2019-7-6-4-8-29-918641,0,0,0
2019-7-6-4-8-30-918952,0,0,0
2019-7-6-4-8-31-918976,0,0,0
2019-7-6-4-8-32-931932,0,0,0
2019-7-6-4-8-33-932796,0,0,0
2019-7-6-4-8-34-933471,0,0,0
2019-7-6-4-8-35-934153,0,0,0
2019-7-6-4-8-36-935147,0,0,0
2019-7-6-4-8-37-957656,0,0,0
2019-7-6-4-8-38-958281,0,0,0
2019-7-6-4-8-39-983723,0,0,0
2019-7-6-4-8-40-992209,0,0,0
2019-7-6-4-8-41-993420,0,0,0
2019-7-6-4-8-43-7508,0,0,0
2019-7-6-4-8-44-27419,0,0,0
2019-7-6-4-8-45-27562,0,0,0
2019-7-6-4-8-46-28414,0,0,0
2019-7-6-4-8-47-29572,0,0,0
2019-7-6-4-8-48-32494,0,0,0
2019-7-6-4-8-49-33295,0,0,0
2019-7-6-4-8-50-46955,0,0,0
2019-7-6-4-8-51-133662,0,0,0
2019-7-6-4-8-52-134515,0,0,0
2019-7-6-4-8-53-148916,0,0,0
2019-7-6-4-8-54-149537,0,0,0
2019-7-6-4-8-55-150424,0,0,0
2019-7-6-4-8-56-150473,0,0,0
2019-7-6-4-8-57-151995,0,0,0
2019-7-6-4-8-58-152790,0,0,0
2019-7-6-4-8-59-156067,0,0,0
2019-7-6-4-9-0-241515,0,0,0
2019-7-6-4-9-1-255538,0,0,0
2019-7-6-4-9-2-256397,0,0,0
