time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-4-6-52-247557,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.549727,30.970000,95.791704,40.125977,0.000000 
2019-7-6-4-6-52-374427,,0.000000,0.000000,0.000000,0.082713,0.733851,-0.029123,-0.146117,-0.138545,0.055028,72.266075,3.284716,-49.626362,1001.549727,30.970000,95.791704,40.125977,0.739071 
2019-7-6-4-6-52-474463,,0.000000,0.000000,0.000000,0.118506,0.753177,0.010146,0.026819,-0.260931,-0.001908,77.209450,4.333626,-51.454285,1001.549727,30.970000,95.791704,40.125977,0.762510 
2019-7-6-4-6-52-575606,,0.000000,0.000000,0.000000,0.103189,0.736893,0.041735,-0.067988,-0.343361,-0.016773,78.683372,4.878269,-51.051609,1001.549727,30.970000,95.791704,40.125977,0.745252 
2019-7-6-4-6-52-675909,,0.000000,0.000000,0.000000,0.150430,0.751745,-0.005565,0.027503,0.065724,0.002508,77.085655,5.180709,-52.542252,1001.549727,30.970000,95.791704,40.125977,0.766669 
2019-7-6-4-6-52-776490,,0.000000,0.000000,0.000000,0.090774,0.753714,-0.035616,-0.124681,0.212587,0.046141,77.121384,4.342509,-51.554867,1001.604922,30.970000,95.327824,40.046875,0.759995 
2019-7-6-4-6-52-877284,,0.000000,0.000000,0.000000,0.107059,0.718283,0.017524,-0.033461,-0.142192,0.009464,78.597679,3.745450,-50.919872,1001.604922,30.970000,95.327824,40.046875,0.726429 
2019-7-6-4-6-52-977887,,0.000000,0.000000,0.000000,0.133179,0.750493,0.010146,0.028445,-0.075059,-0.024705,78.267212,4.923648,-51.535786,1001.604922,30.970000,95.327824,40.046875,0.762285 
2019-7-6-4-6-53-78479,,0.000000,0.000000,0.000000,0.108187,0.724188,0.057415,-0.151548,0.077893,-0.002921,78.989334,4.595073,-50.880138,1001.604922,30.970000,95.327824,40.046875,0.734472 
2019-7-6-4-6-53-178745,,0.000000,0.000000,0.000000,0.112218,0.746914,0.011990,0.016541,0.014830,0.004793,78.851967,5.215226,-50.922737,1001.604922,30.970000,95.327824,40.046875,0.755392 
2019-7-6-4-6-53-279732,,0.000000,0.000000,0.000000,0.111735,0.733493,0.003689,0.004010,0.035055,-0.000484,77.350327,5.392674,-51.867668,1001.566250,30.980000,95.652833,40.452148,0.741964 
2019-7-6-4-6-53-393181,,0.000000,0.000000,0.000000,0.109477,0.746914,0.015218,0.017218,0.005723,-0.000368,77.971390,6.013365,-51.569607,1001.566250,30.980000,95.652833,40.452148,0.755048 
2019-7-6-4-6-53-498177,,0.000000,0.000000,0.000000,0.110445,0.742440,0.020752,0.009098,0.005077,-0.000936,77.547478,5.141211,-51.717464,1001.566250,30.980000,95.652833,40.452148,0.750897 
2019-7-6-4-6-53-598549,,0.000000,0.000000,0.000000,0.112218,0.741724,0.017985,0.008865,0.005367,0.000612,77.539009,5.326296,-51.577789,1001.566250,30.980000,95.652833,40.452148,0.750381 
2019-7-6-4-6-53-702319,,0.000000,0.000000,0.000000,0.110928,0.744230,0.018216,0.006606,0.005755,0.000563,77.238815,5.248477,-51.119991,1001.566250,30.980000,95.652833,40.452148,0.752672 
2019-7-6-4-6-53-803532,,0.000000,0.000000,0.000000,0.109961,0.742261,0.017294,0.005262,0.005574,-0.000492,77.699181,5.125067,-51.444427,1001.621445,30.980000,95.188959,40.272461,0.750561 
2019-7-6-4-6-53-920459,,0.000000,0.000000,0.000000,0.110283,0.744945,0.020061,0.004764,0.004483,0.000575,77.205086,5.165646,-52.157928,1001.621445,30.980000,95.188959,40.272461,0.753332 
2019-7-6-4-6-54-26157,,0.000000,0.000000,0.000000,0.107865,0.747630,0.015218,0.001843,0.002819,0.002091,76.443176,5.225798,-51.920021,1001.621445,30.980000,95.188959,40.272461,0.755524 
2019-7-6-4-6-54-131973,,0.000000,0.000000,0.000000,0.118829,0.745482,0.030898,0.009965,-0.008080,0.000980,77.258415,6.340130,-52.004341,1001.621445,30.980000,95.188959,40.272461,0.755525 
2019-7-6-4-6-54-233517,,0.000000,0.000000,0.000000,0.106253,0.742082,0.024672,0.009416,0.006780,-0.002095,77.648727,5.605825,-51.184963,1001.621445,30.980000,95.188959,40.272461,0.750056 
2019-7-6-4-6-54-333666,,0.000000,0.000000,0.000000,0.110606,0.732240,0.000922,0.039770,0.010503,0.002629,77.171387,4.932906,-51.544270,1001.536016,31.000000,95.906938,40.419922,0.740547 
2019-7-6-4-6-54-433890,,0.000000,0.000000,0.000000,0.116249,0.738682,0.019369,0.038213,0.061165,0.014587,77.279221,5.461393,-51.086033,1001.536016,31.000000,95.906938,40.419922,0.748025 
2019-7-6-4-6-54-534570,,0.000000,0.000000,0.000000,0.116894,0.735640,0.013604,0.036491,-0.083267,0.031270,77.521240,5.832484,-51.178543,1001.536016,31.000000,95.906938,40.419922,0.744994 
2019-7-6-4-6-54-635212,,0.000000,0.000000,0.000000,0.143820,0.732419,-0.018364,0.039138,-0.221367,-0.457030,77.634979,5.029186,-51.766750,1001.536016,31.000000,95.906938,40.419922,0.746632 
2019-7-6-4-6-54-735557,,0.000000,0.000000,0.000000,0.045307,0.782703,0.034587,-0.106661,0.117056,-0.741178,78.220871,5.488442,-48.511181,1001.536016,31.000000,95.906938,40.419922,0.784775 
2019-7-6-4-6-54-837828,,0.000000,0.000000,0.000000,0.006288,0.770892,0.024903,-0.003431,0.198469,-0.391580,77.595894,5.544496,-48.812469,1002.454922,31.000000,88.186752,40.127930,0.771320 
2019-7-6-4-6-54-938451,,0.000000,0.000000,0.000000,-0.001752,0.760693,0.019369,0.019450,0.035111,-0.272387,75.147942,7.203680,-50.142025,1002.454922,31.000000,88.186752,40.127930,0.760941 
2019-7-6-4-6-55-39669,,0.000000,0.000000,0.000000,-0.005061,0.751030,0.025825,-0.031109,-0.071524,-0.166869,74.618286,7.165847,-50.474632,1002.454922,31.000000,88.186752,40.127930,0.751490 
2019-7-6-4-6-55-140171,,0.000000,0.000000,0.000000,0.011931,0.775187,0.038738,0.045004,-0.013711,-0.098520,74.308853,6.300644,-50.516857,1002.454922,31.000000,88.186752,40.127930,0.776246 
2019-7-6-4-6-55-241725,,0.000000,0.000000,0.000000,-0.105313,0.737788,-0.006678,-0.432833,0.036307,-0.090007,73.351463,7.452001,-51.040680,1002.454922,31.000000,88.186752,40.127930,0.745296 
2019-7-6-4-6-55-356983,,0.000000,0.000000,0.000000,-0.071247,0.767492,0.026286,0.024633,-0.031396,0.084552,72.480431,7.998612,-50.138012,1001.434102,31.000000,96.763522,40.657227,0.771240 
2019-7-6-4-6-55-466334,,0.000000,0.000000,0.000000,-0.061903,0.756219,0.029976,0.012632,-0.004131,0.044329,71.504898,7.939698,-50.482201,1001.434102,31.000000,96.763522,40.657227,0.759340 
2019-7-6-4-6-55-572546,,0.000000,0.000000,0.000000,-0.056647,0.756756,0.032512,0.003101,-0.010622,0.020127,72.220314,8.287384,-50.875675,1001.434102,31.000000,96.763522,40.657227,0.759569 
2019-7-6-4-6-55-672773,,0.000000,0.000000,0.000000,-0.056647,0.754430,0.035510,-0.001686,0.005096,0.013844,71.912498,7.544448,-51.260151,1001.434102,31.000000,96.763522,40.657227,0.757386 
2019-7-6-4-6-55-775980,,0.000000,0.000000,0.000000,-0.060346,0.751566,0.036432,-0.002200,0.004615,0.006853,71.797729,6.880445,-50.782379,1001.434102,31.000000,96.763522,40.657227,0.754865 
2019-7-6-4-6-55-876440,,0.000000,0.000000,0.000000,-0.058399,0.753356,0.040813,-0.004214,0.009258,0.009532,71.751175,7.677260,-50.674118,1001.572070,31.000000,95.603917,40.488281,0.756717 
2019-7-6-4-6-55-993586,,0.000000,0.000000,0.000000,-0.059373,0.753356,0.040352,-0.002306,0.004143,0.008086,71.638527,8.006042,-51.180019,1001.572070,31.000000,95.603917,40.488281,0.756768 
2019-7-6-4-6-56-99557,,0.000000,0.000000,0.000000,-0.058594,0.752998,0.042888,-0.002612,0.004037,0.008135,70.964073,7.307739,-51.749390,1001.572070,31.000000,95.603917,40.488281,0.756491 
2019-7-6-4-6-56-200732,,0.000000,0.000000,0.000000,-0.059762,0.754787,0.047039,-0.005123,0.005773,0.006604,72.075142,6.580896,-51.116726,1001.572070,31.000000,95.603917,40.488281,0.758609 
2019-7-6-4-6-56-306670,,0.000000,0.000000,0.000000,-0.056647,0.753893,0.037585,-0.005151,0.007123,0.005584,71.773323,7.925776,-51.078167,1001.572070,31.000000,95.603917,40.488281,0.756952 
2019-7-6-4-6-56-407876,,0.000000,0.000000,0.000000,-0.062877,0.754430,0.039429,0.004047,-0.004519,0.000465,71.841125,7.547280,-51.173462,1001.591211,31.000000,95.443053,40.892578,0.758071 
2019-7-6-4-6-56-508691,,0.000000,0.000000,0.000000,-0.064045,0.752998,0.039199,0.001966,-0.000629,0.000213,72.034203,7.587414,-51.732391,1001.591211,31.000000,95.443053,40.892578,0.756733 
2019-7-6-4-6-56-627813,,0.000000,0.000000,0.000000,-0.060541,0.754251,0.041274,-0.001521,0.006557,0.003062,71.619255,8.379282,-51.505173,1001.591211,31.000000,95.443053,40.892578,0.757801 
2019-7-6-4-6-56-729012,,0.000000,0.000000,0.000000,-0.059178,0.755682,0.039891,-0.000471,0.005726,0.001514,71.803474,7.771311,-50.622406,1001.591211,31.000000,95.443053,40.892578,0.759045 
2019-7-6-4-6-56-830418,,0.000000,0.000000,0.000000,-0.059567,0.753893,0.041044,0.001137,0.003492,0.003820,72.605110,7.114937,-50.801186,1001.591211,31.000000,95.443053,40.892578,0.757355 
2019-7-6-4-6-56-931083,,0.000000,0.000000,0.000000,-0.062293,0.754251,0.040121,-0.002104,0.003413,0.000459,71.930573,7.311005,-50.272659,1001.588047,30.960000,95.469645,40.844727,0.757881 
2019-7-6-4-6-57-36072,,0.000000,0.000000,0.000000,-0.062098,0.753893,0.043119,-0.001434,0.007201,0.001181,72.895645,7.513698,-47.502899,1001.588047,30.960000,95.469645,40.844727,0.757674 
2019-7-6-4-6-57-140016,,0.000000,0.000000,0.000000,-0.060346,0.756040,0.041044,-0.000408,0.006674,0.001472,73.867310,7.687492,-48.321037,1001.588047,30.960000,95.469645,40.844727,0.759554 
2019-7-6-4-6-57-240692,,0.000000,0.000000,0.000000,-0.061709,0.753535,0.039429,-0.003292,0.005288,0.003565,72.201546,7.187807,-49.865406,1001.588047,30.960000,95.469645,40.844727,0.757085 
2019-7-6-4-6-57-341695,,0.000000,0.000000,0.000000,-0.064045,0.754251,0.035048,0.002061,0.002659,0.002344,72.263519,7.732939,-50.012608,1001.588047,30.960000,95.469645,40.844727,0.757776 
2019-7-6-4-6-57-442771,,0.000000,0.000000,0.000000,-0.058010,0.749598,0.045425,0.002934,0.007664,-0.000184,72.172630,8.066258,-50.009174,1001.585742,30.980000,95.489014,39.743164,0.753210 
2019-7-6-4-6-57-543144,,0.000000,0.000000,0.000000,-0.061903,0.752282,0.044041,-0.003011,0.012514,0.001458,72.759796,8.122802,-50.134705,1001.585742,30.980000,95.489014,39.743164,0.756109 
2019-7-6-4-6-57-643672,,0.000000,0.000000,0.000000,-0.062487,0.752998,0.046578,-0.005198,0.013726,0.002967,73.038994,7.745942,-50.391602,1001.585742,30.980000,95.489014,39.743164,0.757020 
2019-7-6-4-6-57-744252,,0.000000,0.000000,0.000000,-0.065213,0.755503,0.040121,-0.001204,0.004957,0.003000,73.261909,8.088419,-50.061817,1001.585742,30.980000,95.489014,39.743164,0.759373 
2019-7-6-4-6-57-848578,,0.000000,0.000000,0.000000,-0.058399,0.755682,0.043119,-0.002516,0.010064,0.005964,72.043350,7.465556,-50.441612,1001.585742,30.980000,95.489014,39.743164,0.759161 
2019-7-6-4-6-57-948779,,0.000000,0.000000,0.000000,-0.062293,0.752282,0.043119,-0.002611,0.005811,0.003945,73.033852,8.418095,-49.771698,1001.560977,31.010000,95.697153,40.028320,0.756087 
2019-7-6-4-6-58-49128,,0.000000,0.000000,0.000000,-0.060346,0.757829,0.045194,-0.005842,0.000669,-0.002501,72.361885,7.169682,-49.491390,1001.560977,31.010000,95.697153,40.028320,0.761570 
2019-7-6-4-6-58-149901,,0.000000,0.000000,0.000000,-0.053533,0.754430,0.040582,-0.003315,0.000770,0.003181,72.675140,7.804361,-50.095062,1001.560977,31.010000,95.697153,40.028320,0.757414 
2019-7-6-4-6-58-250803,,0.000000,0.000000,0.000000,-0.064629,0.754430,0.037585,0.001291,-0.005411,-0.000265,72.205475,8.249922,-50.023006,1001.560977,31.010000,95.697153,40.028320,0.758125 
2019-7-6-4-6-58-351337,,0.000000,0.000000,0.000000,-0.061903,0.752461,0.035971,0.002411,-0.006046,-0.003060,72.503960,6.811113,-49.437645,1001.560977,31.010000,95.697153,40.028320,0.755860 
2019-7-6-4-6-58-453298,,0.000000,0.000000,0.000000,-0.059762,0.753535,0.036662,0.002448,-0.005760,-0.002065,72.320328,7.958940,-50.435467,1001.585938,31.030000,95.487373,40.580078,0.756789 
2019-7-6-4-6-58-561583,,0.000000,0.000000,0.000000,-0.062487,0.754251,0.037815,0.004200,-0.003990,-0.001588,71.826935,7.567220,-49.733364,1001.585938,31.030000,95.487373,40.580078,0.757779 
2019-7-6-4-6-58-668915,,0.000000,0.000000,0.000000,-0.062682,0.752998,0.034818,0.003135,-0.002394,-0.002120,71.541153,8.382523,-50.347866,1001.585938,31.030000,95.487373,40.580078,0.756404 
2019-7-6-4-6-58-769487,,0.000000,0.000000,0.000000,-0.060735,0.753893,0.039660,0.001008,-0.002395,0.000008,71.266953,7.478849,-51.393471,1001.585938,31.030000,95.487373,40.580078,0.757374 
2019-7-6-4-6-58-874108,,0.000000,0.000000,0.000000,-0.060735,0.753177,0.043349,0.000476,-0.001863,0.001604,72.530014,8.238787,-49.896595,1001.585938,31.030000,95.487373,40.580078,0.756864 
2019-7-6-4-6-58-975194,,0.000000,0.000000,0.000000,-0.060151,0.753356,0.038046,0.001540,0.001330,0.000008,72.290939,8.823286,-49.998478,1001.575195,31.040000,95.577653,40.243164,0.756710 
2019-7-6-4-6-59-76035,,0.000000,0.000000,0.000000,-0.062293,0.751924,0.038277,0.001540,0.001329,0.000539,72.290260,8.018209,-49.929741,1001.575195,31.040000,95.577653,40.243164,0.755470 
2019-7-6-4-6-59-181562,,0.000000,0.000000,0.000000,-0.063850,0.755145,0.035510,0.005796,-0.001864,-0.001057,73.111946,8.163211,-49.332314,1001.575195,31.040000,95.577653,40.243164,0.758671 
2019-7-6-4-6-59-288325,,0.000000,0.000000,0.000000,-0.063071,0.756219,0.042196,0.000476,-0.006120,-0.002121,74.109886,8.311445,-48.103279,1001.575195,31.040000,95.577653,40.243164,0.760017 
2019-7-6-4-6-59-389231,,0.000000,0.000000,0.000000,-0.061125,0.756040,0.041966,0.001539,-0.003992,0.000539,73.057625,7.636134,-48.702007,1001.575195,31.040000,95.577653,40.243164,0.759667 
2019-7-6-4-6-59-490712,,0.000000,0.000000,0.000000,-0.060930,0.750314,0.040121,0.000476,0.002925,0.000007,72.577774,8.536220,-49.378223,1001.528125,31.040000,95.973256,40.469727,0.753852 
2019-7-6-4-6-59-591427,,0.000000,0.000000,0.000000,-0.062682,0.754072,0.041044,0.005796,-0.003461,-0.002122,71.247841,7.584754,-50.318478,1001.528125,31.040000,95.973256,40.469727,0.757785 
2019-7-6-4-6-59-692033,,0.000000,0.000000,0.000000,-0.057815,0.751924,0.042888,-0.002185,0.001328,0.000537,70.843567,8.752342,-50.561440,1001.528125,31.040000,95.973256,40.469727,0.755362 
2019-7-6-4-6-59-797809,,0.000000,0.000000,0.000000,-0.062487,0.755145,0.029745,0.005795,-0.006654,-0.002655,71.049774,7.414873,-51.180775,1001.528125,31.040000,95.973256,40.469727,0.758310 
2019-7-6-4-6-59-905404,,0.000000,0.000000,0.000000,-0.063266,0.753714,0.035279,0.004199,-0.011974,-0.002655,71.656342,6.966891,-50.407631,1001.528125,31.040000,95.973256,40.469727,0.757187 
2019-7-6-4-7-0-5952,,0.000000,0.000000,0.000000,-0.061125,0.752103,0.044963,-0.004845,0.010907,0.000537,72.393875,7.291158,-50.337234,1001.564102,31.050000,95.670889,40.210938,0.755921 
2019-7-6-4-7-0-106392,,0.000000,0.000000,0.000000,-0.063266,0.752640,0.042658,0.000476,0.001328,0.002133,71.967239,7.657679,-51.065819,1001.564102,31.050000,95.670889,40.210938,0.756498 
2019-7-6-4-7-0-207738,,0.000000,0.000000,0.000000,-0.064629,0.751387,0.044041,0.001008,0.001329,0.001601,71.362419,7.758874,-51.631001,1001.564102,31.050000,95.670889,40.210938,0.755447 
