time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-6-30-10-7-18-956640,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,995.245742,32.290000,148.909205,46.159180,0.000000 
2019-6-30-10-7-19-61215,,0.000000,0.000000,0.000000,-0.011485,0.016284,0.939159,-0.000256,-0.000863,-0.000589,-2.382367,-7.014769,8.656491,995.245742,32.290000,148.909205,46.159180,0.939371 
2019-6-30-10-7-19-165169,,0.000000,0.000000,0.000000,-0.012069,0.016821,0.942849,0.000702,0.000231,-0.000049,-2.506344,-7.389916,9.986615,995.245742,32.290000,148.909205,46.159180,0.943076 
2019-6-30-10-7-19-266121,,0.000000,0.000000,0.000000,-0.011485,0.018252,0.943079,0.000141,0.000283,0.000007,-3.220061,-8.634670,10.479786,995.245742,32.290000,148.909205,46.159180,0.943326 
2019-6-30-10-7-19-370772,,0.000000,0.000000,0.000000,-0.012653,0.017179,0.934778,-0.001546,0.000269,-0.000026,-2.394175,-7.826644,10.023196,995.245742,32.290000,148.909205,46.159180,0.935022 
2019-6-30-10-7-19-477264,,0.000000,0.000000,0.000000,-0.011291,0.016105,0.941235,0.000546,-0.001776,-0.001035,-2.427697,-7.258990,9.597858,995.264531,32.290000,148.750484,46.427734,0.941440 
2019-6-30-10-7-19-584562,,0.000000,0.000000,0.000000,-0.004867,0.016642,0.950919,0.001984,0.001837,0.000505,-2.234557,-7.662501,9.998683,995.264531,32.290000,148.750484,46.427734,0.951077 
2019-6-30-10-7-19-686862,,0.000000,0.000000,0.000000,-0.012459,0.017894,0.938468,0.001389,0.000234,0.000001,-2.043646,-7.224195,10.043528,995.264531,32.290000,148.750484,46.427734,0.938721 
2019-6-30-10-7-19-787327,,0.000000,0.000000,0.000000,-0.013043,0.018610,0.943540,0.001395,0.000169,-0.000531,-1.886163,-8.322755,8.542245,995.264531,32.290000,148.750484,46.427734,0.943814 
2019-6-30-10-7-19-887930,,0.000000,0.000000,0.000000,-0.010123,0.016821,0.943310,-0.000696,0.000658,-0.000471,-2.166841,-7.669691,8.550629,995.264531,32.290000,148.750484,46.427734,0.943514 
2019-6-30-10-7-19-994773,,0.000000,0.000000,0.000000,-0.012653,0.017715,0.941235,0.001352,0.000078,0.001096,-1.644307,-7.380822,8.768862,995.272734,32.290000,148.681188,45.855469,0.941486 
2019-6-30-10-7-20-95394,,0.000000,0.000000,0.000000,-0.013821,0.017715,0.938468,0.000345,0.000637,0.000518,-2.303059,-7.944484,8.037004,995.272734,32.290000,148.681188,45.855469,0.938737 
