time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-56-10-186464,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.598008,29.280000,95.385931,42.811523,0.000000 
2019-7-6-3-56-10-315204,,0.000000,0.000000,0.000000,-0.054117,0.753535,0.091772,0.003312,-0.000218,0.001792,67.218765,7.733401,-47.554348,1001.598008,29.280000,95.385931,42.811523,0.761029 
2019-7-6-3-56-10-416889,,0.000000,0.000000,0.000000,-0.054895,0.752819,0.092463,0.003158,0.000804,0.001002,70.098907,8.703936,-49.624878,1001.598008,29.280000,95.385931,42.811523,0.760460 
2019-7-6-3-56-10-521876,,0.000000,0.000000,0.000000,-0.054895,0.753177,0.095922,0.001351,-0.002779,-0.000322,71.982216,8.862093,-49.784477,1001.598008,29.280000,95.385931,42.811523,0.761242 
2019-7-6-3-56-10-627722,,0.000000,0.000000,0.000000,-0.052949,0.751566,0.094077,0.001763,-0.001140,0.001457,71.197189,7.810656,-50.484463,1001.598008,29.280000,95.385931,42.811523,0.759280 
2019-7-6-3-56-10-738195,,0.000000,0.000000,0.000000,-0.053338,0.753177,0.094769,0.000526,0.000988,0.001768,72.158836,9.034725,-50.921444,1001.669922,29.290000,94.781569,42.801758,0.760987 
2019-7-6-3-56-10-856367,,0.000000,0.000000,0.000000,-0.054895,0.750851,0.093847,0.000875,-0.001523,0.001593,71.564514,8.530924,-51.094177,1001.669922,29.290000,94.781569,42.801758,0.758681 
2019-7-6-3-56-10-957759,,0.000000,0.000000,0.000000,-0.053727,0.753893,0.094308,-0.000222,-0.002972,-0.000649,72.526855,8.772797,-49.815022,1001.669922,29.290000,94.781569,42.801758,0.761666 
2019-7-6-3-56-11-88440,,0.000000,0.000000,0.000000,-0.054311,0.753177,0.097536,-0.000921,-0.001376,-0.000711,73.583557,9.138595,-48.163078,1001.669922,29.290000,94.781569,42.801758,0.761406 
2019-7-6-3-56-11-195856,,0.000000,0.000000,0.000000,-0.054506,0.752282,0.093847,0.002212,-0.001181,-0.000725,72.979073,8.483443,-49.350239,1001.317266,29.090000,97.745610,43.096680,0.760070 
2019-7-6-3-56-11-296768,,0.000000,0.000000,0.000000,-0.054895,0.752819,0.095461,0.001076,0.000412,-0.000791,73.340454,8.316978,-49.019676,1001.317266,29.090000,97.745610,43.096680,0.760830 
2019-7-6-3-56-11-402419,,0.000000,0.000000,0.000000,-0.054117,0.753356,0.096383,-0.000519,0.000307,0.000100,73.422516,8.615301,-50.158886,1001.317266,29.090000,97.745610,43.096680,0.761422 
2019-7-6-3-56-11-502984,,0.000000,0.000000,0.000000,-0.053922,0.753356,0.093616,-0.000654,0.003545,0.000679,71.764763,9.061052,-49.313168,1001.317266,29.090000,97.745610,43.096680,0.761063 
2019-7-6-3-56-11-604052,,0.000000,0.000000,0.000000,-0.054311,0.752998,0.092233,-0.000119,0.000915,0.001741,72.936653,8.389888,-49.443707,1001.317266,29.090000,97.745610,43.096680,0.760567 
2019-7-6-3-56-11-740275,,0.000000,0.000000,0.000000,-0.052365,0.751745,0.096383,0.000446,-0.000080,0.000549,72.502464,8.513988,-50.534321,1001.661523,29.280000,94.852147,42.947266,0.759706 
