time,motor, para, direct
2019-6-30-8-58-21-76065,0,0,0
2019-6-30-8-58-22-76920,0,0,0
2019-6-30-8-58-23-77522,0,0,0
2019-6-30-8-58-24-91476,0,0,0
2019-6-30-8-58-25-94901,0,0,0
2019-6-30-8-58-26-95628,0,0,0
2019-6-30-8-58-27-108891,0,0,0
2019-6-30-8-58-28-109401,0,0,0
2019-6-30-8-58-29-124724,0,0,0
2019-6-30-8-58-30-145141,0,0,0
2019-6-30-8-58-31-164803,0,0,0
2019-6-30-8-58-32-165475,0,0,0
2019-6-30-8-58-33-166179,0,0,0
2019-6-30-8-58-34-181417,0,0,0
2019-6-30-8-58-35-181442,0,0,0
2019-6-30-8-58-36-181455,0,0,0
