time,motor, para, direct
2019-7-6-4-16-34-280643,0,0,0
2019-7-6-4-16-35-285729,0,0,0
2019-7-6-4-16-36-286234,0,0,0
2019-7-6-4-16-37-291147,0,0,0
2019-7-6-4-16-38-292178,0,0,0
2019-7-6-4-16-39-295866,0,0,0
2019-7-6-4-16-40-296420,0,0,0
2019-7-6-4-16-41-312583,0,0,0
2019-7-6-4-16-42-312990,0,0,0
2019-7-6-4-16-43-313852,0,0,0
2019-7-6-4-16-44-314700,0,0,0
2019-7-6-4-16-45-316837,0,0,0
2019-7-6-4-16-46-320025,0,0,0
2019-7-6-4-16-47-320542,0,0,0
2019-7-6-4-16-48-323835,0,0,0
2019-7-6-4-16-49-355261,0,0,0
2019-7-6-4-16-50-445971,0,0,0
2019-7-6-4-16-51-465497,0,0,0
2019-7-6-4-16-52-466002,0,0,0
2019-7-6-4-16-53-467311,0,0,0
