time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-4-5-11-627728,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1002.081133,30.660000,91.326447,39.794922,0.000000 
2019-7-6-4-5-11-736002,,0.000000,0.000000,0.000000,0.100126,0.742798,-0.044891,-0.001641,0.000918,-0.000816,73.466316,2.304915,-45.414211,1002.081133,30.660000,91.326447,39.794922,0.750859 
2019-7-6-4-5-11-836258,,0.000000,0.000000,0.000000,0.100287,0.744051,-0.040068,-0.001163,0.002173,-0.001605,78.492714,3.272794,-49.904434,1002.081133,30.660000,91.326447,39.794922,0.751847 
2019-7-6-4-5-11-936857,,0.000000,0.000000,0.000000,0.097546,0.743514,-0.044149,-0.002963,0.001855,-0.001833,79.205055,3.243997,-50.400757,1002.081133,30.660000,91.326447,39.794922,0.751184 
2019-7-6-4-5-12-38532,,0.000000,0.000000,0.000000,0.099803,0.744409,-0.042850,-0.000359,0.001151,-0.001052,79.153915,2.994104,-50.332848,1002.081133,30.660000,91.326447,39.794922,0.752291 
2019-7-6-4-5-12-138832,,0.000000,0.000000,0.000000,0.101093,0.742798,-0.044520,-0.003537,-0.001071,-0.000381,78.777702,2.684057,-50.683575,1001.593203,30.670000,95.426310,40.109375,0.750967 
2019-7-6-4-5-12-256342,,0.000000,0.000000,0.000000,0.100932,0.744051,-0.045076,-0.002837,0.001301,-0.000196,78.267220,2.655318,-51.248890,1001.593203,30.670000,95.426310,40.109375,0.752217 
2019-7-6-4-5-12-361739,,0.000000,0.000000,0.000000,0.100932,0.742261,-0.048601,0.000959,0.000005,-0.000528,78.617966,2.734982,-51.151794,1001.593203,30.670000,95.426310,40.109375,0.750667 
2019-7-6-4-5-12-461911,,0.000000,0.000000,0.000000,0.099642,0.743693,-0.044705,0.000023,-0.000587,-0.001546,78.111298,2.742419,-50.799797,1001.593203,30.670000,95.426310,40.109375,0.751669 
2019-7-6-4-5-12-569017,,0.000000,0.000000,0.000000,0.102222,0.743872,-0.043407,-0.001371,0.001006,0.000126,78.875572,2.706512,-50.887295,1001.593203,30.670000,95.426310,40.109375,0.752116 
2019-7-6-4-5-12-669109,,0.000000,0.000000,0.000000,0.098836,0.744230,-0.047488,0.000504,0.000914,-0.000338,78.617302,3.366985,-50.917011,1001.563008,30.680000,95.680082,39.830078,0.752264 
2019-7-6-4-5-12-784904,,0.000000,0.000000,0.000000,0.097062,0.741367,-0.043221,-0.000892,-0.000259,-0.000789,79.388016,3.162773,-51.541622,1001.563008,30.680000,95.680082,39.830078,0.748942 
