time, event, latitude,longitude,height,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude,humidity,l2_accel
2019-7-6-3-53-2-711347,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1001.727656,28.990000,94.296397,44.721680,0.000000 
2019-7-6-3-53-2-813477,,0.000000,0.000000,0.000000,-0.099668,0.752103,0.068944,0.000258,-0.001152,-0.003367,65.407173,9.167628,-46.552856,1001.727656,28.990000,94.296397,44.721680,0.761805 
2019-7-6-3-53-2-914204,,0.000000,0.000000,0.000000,-0.098500,0.750851,0.068483,0.000128,0.003429,0.001611,72.983704,9.322638,-51.832157,1001.727656,28.990000,94.296397,44.721680,0.760374 
2019-7-6-3-53-3-14971,,0.000000,0.000000,0.000000,-0.101615,0.752282,0.070558,-0.001150,0.004180,0.001042,74.232513,9.912859,-52.373692,1001.727656,28.990000,94.296397,44.721680,0.762386 
2019-7-6-3-53-3-128574,,0.000000,0.000000,0.000000,-0.098890,0.751208,0.073556,-0.000945,0.002602,-0.000715,74.459145,9.778304,-51.767014,1001.727656,28.990000,94.296397,44.721680,0.761251 
2019-7-6-3-53-3-229158,,0.000000,0.000000,0.000000,-0.099084,0.750135,0.067560,-0.001996,-0.004877,-0.001629,75.614990,9.846929,-52.204075,1001.659531,29.020000,94.868889,44.747070,0.759661 
2019-7-6-3-53-3-334173,,0.000000,0.000000,0.000000,-0.098306,0.751030,0.072864,-0.000846,-0.004261,-0.001797,75.377632,10.111233,-49.086140,1001.659531,29.020000,94.868889,44.747070,0.760933 
2019-7-6-3-53-3-438255,,0.000000,0.000000,0.000000,-0.099084,0.750493,0.068944,0.001301,-0.002398,-0.002324,75.457817,9.643684,-50.143906,1001.659531,29.020000,94.868889,44.747070,0.760138 
2019-7-6-3-53-3-538705,,0.000000,0.000000,0.000000,-0.100447,0.749061,0.070327,-0.000249,0.004511,0.000050,74.968239,10.248349,-51.029205,1001.659531,29.020000,94.868889,44.747070,0.759031 
2019-7-6-3-53-3-652644,,0.000000,0.000000,0.000000,-0.097916,0.750851,0.071480,0.000804,0.004014,0.000533,74.778465,9.848876,-50.993481,1001.659531,29.020000,94.868889,44.747070,0.760575 
