time,motor, para, direct
2019-7-6-3-54-56-860126,0,0,0
2019-7-6-3-54-57-917589,0,0,0
2019-7-6-3-54-58-932550,0,0,0
2019-7-6-3-54-59-933488,0,0,0
2019-7-6-3-55-0-949909,0,0,0
2019-7-6-3-55-1-950726,0,0,0
2019-7-6-3-55-2-951476,0,0,0
2019-7-6-3-55-4-58977,0,0,0
2019-7-6-3-55-5-59762,0,0,0
2019-7-6-3-55-6-66080,0,0,0
2019-7-6-3-55-7-67226,0,0,0
2019-7-6-3-55-8-68251,0,0,0
2019-7-6-3-55-9-68667,0,0,0
2019-7-6-3-55-10-72807,0,0,0
2019-7-6-3-55-11-73238,0,0,0
2019-7-6-3-55-12-85906,0,0,0
2019-7-6-3-55-13-86363,0,0,0
2019-7-6-3-55-14-88798,0,0,0
2019-7-6-3-55-15-89129,0,0,0
2019-7-6-3-55-16-89599,0,0,0
2019-7-6-3-55-17-120148,0,0,0
2019-7-6-3-55-18-247279,0,0,0
2019-7-6-3-55-19-290993,0,0,0
2019-7-6-3-55-20-293822,0,0,0
2019-7-6-3-55-21-305211,0,0,0
2019-7-6-3-55-22-345547,0,0,0
2019-7-6-3-55-23-346065,0,0,0
2019-7-6-3-55-24-346248,0,0,0
2019-7-6-3-55-25-349380,0,0,0
2019-7-6-3-55-26-350072,0,0,0
2019-7-6-3-55-27-350394,0,0,0
2019-7-6-3-55-28-351525,0,0,0
2019-7-6-3-55-29-352497,0,0,0
2019-7-6-3-55-30-358289,0,0,0
2019-7-6-3-55-31-358383,0,0,0
2019-7-6-3-55-32-381020,0,0,0
2019-7-6-3-55-33-387364,0,0,0
2019-7-6-3-55-34-408522,0,0,0
2019-7-6-3-55-35-428120,0,0,0
2019-7-6-3-55-36-429061,0,0,0
2019-7-6-3-55-37-429836,0,0,0
2019-7-6-3-55-38-429887,0,0,0
2019-7-6-3-55-39-433283,0,0,0
2019-7-6-3-55-40-434019,0,0,0
2019-7-6-3-55-41-436163,0,0,0
2019-7-6-3-55-42-436824,0,0,0
2019-7-6-3-55-43-439594,0,0,0
2019-7-6-3-55-44-439825,0,0,0
2019-7-6-3-55-45-442887,0,0,0
2019-7-6-3-55-46-460026,0,0,0
2019-7-6-3-55-47-460372,0,0,0
2019-7-6-3-55-48-472896,0,0,0
2019-7-6-3-55-49-516763,0,0,0
2019-7-6-3-55-50-518238,0,0,0
2019-7-6-3-55-51-518485,0,0,0
